paper_id,method,s2_citations,s2_title,title_sim,s2_year,s2_venue
r1SuFjkRW,arxiv_batch,135,Discrete Sequential Prediction of Continuous Actions for Deep RL,1.000,2017,arXiv.org
r1RF3ExCb,arxiv_batch,88,Transformation Autoregressive Networks,1.000,2018,International Conference on Machine Learning
r1HhRfWRZ,arxiv_batch,49,Learning Awareness Models,1.000,2018,International Conference on Learning Representations
r1Ddp1-Rb,arxiv_batch,12038,mixup: Beyond Empirical Risk Minimization,1.000,2017,International Conference on Learning Representations
r1DPFCyA-,arxiv_batch,71,Discriminative k-shot learning using probabilistic models,1.000,2017,arXiv.org
r17lFgZ0Z,arxiv_batch,232,Relevance of Unsupervised Metrics in Task-Oriented Dialogue for Evaluating Natural Language Generation,1.000,2017,arXiv.org
r17Q6WWA-,arxiv_batch,13,Multi-Task Learning by Deep Collaboration and Application in Facial Landmark Detection,1.000,2017,arXiv.org
r16Vyf-0-,arxiv_batch,1923,Image Transformer,1.000,2018,International Conference on Machine Learning
r154_g-Rb,arxiv_batch,68,Composable Planning with Attributes,1.000,2018,International Conference on Machine Learning
r11Q2SlRW,arxiv_batch,48,Auto-Conditioned LSTM Network for Extended Complex Human Motion Synthesis,0.920,2017,arXiv.org
Syx6bz-Ab,arxiv_batch,1565,Seq2SQL: Generating Structured Queries from Natural Language using Reinforcement Learning,1.000,2017,arXiv.org
SywXXwJAb,arxiv_batch,133,Deep Learning and Quantum Entanglement: Fundamental Connections with Implications to Network Design,1.000,2017,International Conference on Learning Representations
SysEexbRb,arxiv_batch,55,Critical Points of Neural Networks: Analytical Forms and Landscape Properties,0.956,2017,arXiv.org
SyrGJYlRZ,arxiv_batch,113,YellowFin and the Art of Momentum Tuning,1.000,2017,USENIX workshop on Tackling computer systems problems with machine learning techniques
SyqShMZRb,arxiv_batch,357,Syntax-Directed Variational Autoencoder for Structured Data,1.000,2018,International Conference on Learning Representations
SyoDInJ0-,arxiv_batch,,,,,
Syjha0gAZ,arxiv_batch,22,Loss Functions for Multiset Prediction,1.000,2017,Neural Information Processing Systems
SyhRVm-Rb,arxiv_batch,581,Automatic Goal Generation for Reinforcement Learning Agents,1.000,2017,International Conference on Machine Learning
SygwwGbRW,arxiv_batch,436,Semi-parametric Topological Memory for Navigation,1.000,2018,International Conference on Learning Representations
Syg-YfWCW,arxiv_batch,612,Go for a Walk and Arrive at the Answer: Reasoning Over Paths in Knowledge Bases using Reinforcement Learning,1.000,2017,International Conference on Learning Representations
SyZipzbCb,arxiv_batch,541,Distributed Distributional Deterministic Policy Gradients,1.000,2018,International Conference on Learning Representations
SyYe6k-CW,arxiv_batch,393,Deep Bayesian Bandits Showdown: An Empirical Comparison of Bayesian Deep Networks for Thompson Sampling,0.995,2018,International Conference on Learning Representations
SyX0IeWAW,arxiv_batch,381,Meta Learning Shared Hierarchies,1.000,2017,International Conference on Learning Representations
SyW4Gjg0W,arxiv_batch,60,Kernel Graph Convolutional Neural Networks,0.950,2017,International Conference on Artificial Neural Networks
SyVVXngRW,arxiv_batch,,,,,
SyProzZAW,arxiv_batch,193,The power of deeper networks for expressing natural functions,1.000,2017,International Conference on Learning Representations
SyL9u-WA-,arxiv_batch,121,Stabilizing Gradients for Deep Neural Networks via Efficient SVD Parameterization,1.000,2018,International Conference on Machine Learning
SyJ7ClWCb,arxiv_batch,1630,Countering Adversarial Images using Input Transformations,1.000,2018,International Conference on Learning Representations
SyELrEeAb,arxiv_batch,46,Implicit Causal Models for Genome-wide Association Studies,1.000,2017,International Conference on Learning Representations
SyBBgXWAZ,arxiv_batch,,,,,
SyAbZb-0Z,arxiv_batch,5,Transfer Learning to Learn with Multitask Neural Model Search,1.000,2017,arXiv.org
Sy3fJXbA-,arxiv_batch,28,Connectivity Learning in Multi-Branch Networks,1.000,2017,arXiv.org
Sy2ogebAW,arxiv_batch,815,Unsupervised Neural Machine Translation,1.000,2017,International Conference on Learning Representations
Sy21R9JAW,arxiv_batch,149,A unified view of gradient-based attribution methods for Deep Neural Networks,0.819,2017,Neural Information Processing Systems
Sy1f0e-R-,arxiv_batch,305,An empirical study on evaluation metrics of generative adversarial networks,1.000,2018,arXiv.org
Sy0GnUxCb,arxiv_batch,435,Emergent Complexity via Multi-Agent Competition,1.000,2017,International Conference on Learning Representations
Sy-tszZRZ,arxiv_batch,302,Bounding and Counting Linear Regions of Deep Neural Networks,1.000,2017,International Conference on Machine Learning
Skx5txzb0W,arxiv_batch,4,A Boo(n) for Evaluating Architecture Performance,1.000,2018,International Conference on Machine Learning
Skw0n-W0Z,arxiv_batch,266,Temporal Difference Models: Model-Free Deep RL for Model-Based Control,1.000,2018,International Conference on Learning Representations
Skvd-myR-,arxiv_batch,39,Learning Non-Metric Visual Similarity for Image Retrieval,1.000,2017,Image and Vision Computing
SktLlGbRZ,arxiv_batch,3282,CyCADA: Cycle-Consistent Adversarial Domain Adaptation,1.000,2017,International Conference on Machine Learning
SksY3deAW,arxiv_batch,120,Learning Deep ResNet Blocks Sequentially using Boosting Theory,1.000,2017,International Conference on Machine Learning
SkqV-XZRZ,arxiv_batch,28,Variational Bi-LSTMs,1.000,2017,arXiv.org
Skp1ESxRZ,arxiv_batch,11,Learning Neural Programs To Parse Programs,0.438,2017,arXiv.org
Skj8Kag0Z,arxiv_batch,92,Stabilizing Adversarial Nets With Prediction Methods,1.000,2017,International Conference on Learning Representations
SkhQHMW0W,arxiv_batch,1673,Deep Gradient Compression: Reducing the Communication Bandwidth for Distributed Training,1.000,2017,International Conference on Learning Representations
SkZxCk-0Z,arxiv_batch,138,Can Neural Networks Understand Logical Entailment?,1.000,2018,International Conference on Learning Representations
SkYibHlRb,arxiv_batch,506,SQLNet: Generating Structured Queries From Natural Language Without Reinforcement Learning,1.000,2017,arXiv.org
SkYMnLxRW,arxiv_batch,142,Weighted Transformer Network for Machine Translation,1.000,2017,arXiv.org
SkVqXOxCb,arxiv_batch,81,Coulomb GANs: Provably Optimal Nash Equilibria via Potential Fields,1.000,2017,International Conference on Learning Representations
SkPoRg10b,arxiv_batch,68,Rethinking generalization requires revisiting old ideas: statistical mechanics approaches and complex learning behavior,1.000,2017,arXiv.org
SkFAWax0-,arxiv_batch,28,Voice Synthesis for in-the-Wild Speakers via a Phonological Loop,0.634,2017,arXiv.org
SkF2D7g0b,arxiv_batch,5,Exploring the Space of Black-box Attacks on Deep Neural Networks,1.000,2017,arXiv.org
Sk9yuql0Z,arxiv_batch,1208,Mitigating adversarial effects through randomization,1.000,2017,International Conference on Learning Representations
SJzRZ-WCZ,arxiv_batch,331,Latent Space Oddity: on the Curvature of Deep Generative Models,1.000,2017,International Conference on Learning Representations
SJzMATlAZ,arxiv_batch,81,Deep Continuous Clustering,1.000,2018,arXiv.org
SJyVzQ-C-,arxiv_batch,54,Fraternal Dropout,1.000,2017,International Conference on Learning Representations
SJx9GQb0-,arxiv_batch,281,Improving the Improved Training of Wasserstein GANs: A Consistency Term and Its Dual Effect,1.000,2018,International Conference on Learning Representations
SJw03ceRW,arxiv_batch,0,Generative Low-Shot Network Expansion,1.000,2018,IEEE/RJS International Conference on Intelligent RObots and Systems
SJn0sLgRb,arxiv_batch,468,Data Augmentation by Pairing Samples for Images Classification,1.000,2018,arXiv.org
SJmAXkgCb,arxiv_batch,20,DNN Feature Map Compression using Learned Representation over GF(2),1.000,2018,ECCV Workshops
SJlhPMWAW,arxiv_batch,,,,,
SJky6Ry0W,arxiv_batch,205,Learning Independent Causal Mechanisms,1.000,2017,International Conference on Machine Learning
SJiHXGWAZ,arxiv_batch,107,Graph Convolutional Recurrent Neural Network: Data-Driven Traffic Forecasting,0.909,2017,arXiv.org
SJi9WOeRb,arxiv_batch,127,Gradient Estimators for Implicit Models,1.000,2017,International Conference on Learning Representations
SJahqJZAW,arxiv_batch,85,Stabilizing GAN Training with Multiple Random Projections,1.000,2017,arXiv.org
SJa9iHgAZ,arxiv_batch,181,Residual Connections Encourage Iterative Inference,1.000,2017,International Conference on Learning Representations
SJQO7UJCW,arxiv_batch,616,Adversarial Learning for Semi-supervised Semantic Segmentation,1.000,2018,British Machine Vision Conference
SJQHjzZ0-,arxiv_batch,73,Quantitatively Evaluating GANs With Divergences Proposed for Training,1.000,2018,International Conference on Learning Representations
SJLy_SxC-,arxiv_batch,36,Log-DenseNet: How to Sparsify a DenseNet,1.000,2017,arXiv.org
SJLlmG-AZ,arxiv_batch,1,Unsupervised learning of image motion by recomposing sequences,0.522,2016,arXiv.org
SJJinbWRZ,arxiv_batch,487,Model-Ensemble Trust-Region Policy Optimization,1.000,2018,International Conference on Learning Representations
SJJQVZW0b,arxiv_batch,150,Hierarchical and Interpretable Skill Acquisition in Multi-task Reinforcement Learning,1.000,2017,International Conference on Learning Representations
SJIA6ZWC-,arxiv_batch,149,Stochastic Hyperparameter Optimization through Hypernetworks,1.000,2018,arXiv.org
SJCq_fZ0Z,arxiv_batch,15,Sparse Attentive Backtracking: Long-Range Credit Assignment in Recurrent Networks,1.000,2017,arXiv.org
SJA7xfb0b,arxiv_batch,119,Sobolev GAN,1.000,2017,International Conference on Learning Representations
SJ8M9yup-,arxiv_batch,1,On Optimality Conditions for Auto-Encoder Signal Recovery,1.000,2016,
SJ60SbW0b,arxiv_batch,1,Modeling Latent Attention Within Neural Networks,1.000,2017,arXiv.org
SJ1Xmf-Rb,arxiv_batch,522,FearNet: Brain-Inspired Model for Incremental Learning,1.000,2017,International Conference on Learning Representations
SJ19eUg0-,arxiv_batch,25,Block-diagonal Hessian-free Optimization for Training Neural Networks,1.000,2017,arXiv.org
S1vuO-bCW,arxiv_batch,157,Leave no Trace: Learning to Reset for Safe and Autonomous Reinforcement Learning,1.000,2017,International Conference on Learning Representations
S1v4N2l0-,arxiv_batch,3608,Unsupervised Representation Learning by Predicting Image Rotations,1.000,2018,International Conference on Learning Representations
S1p31z-Ab,arxiv_batch,12201,Deep Contextualized Word Representations,1.000,2018,North American Chapter of the Association for Computational Linguistics
S1nQvfgA-,arxiv_batch,121,Semantically Decomposing the Latent Spaces of Generative Adversarial Networks,1.000,2017,International Conference on Learning Representations
S1m6h21Cb,arxiv_batch,397,The Cramer Distance as a Solution to Biased Wasserstein Gradients,1.000,2017,arXiv.org
S1jBcueAb,arxiv_batch,314,Depthwise Separable Convolutions for Neural Machine Translation,1.000,2017,International Conference on Learning Representations
S1fduCl0b,arxiv_batch,134,Lifelong Generative Modeling,1.000,2017,Neurocomputing
S1fcY-Z0-,arxiv_batch,157,Bayesian Hypernetworks,1.000,2017,arXiv.org
S1cZsf-RW,arxiv_batch,130,WHAI: Weibull Hybrid Autoencoding Inference for Deep Topic Modeling,1.000,2018,International Conference on Learning Representations
S1WRibb0Z,arxiv_batch,119,Expressive power of recurrent neural networks,1.000,2017,International Conference on Learning Representations
S1J2ZyZ0Z,arxiv_batch,75,Interpretable Counting for Visual Question Answering,1.000,2017,International Conference on Learning Representations
S1HlA-ZAZ,arxiv_batch,41,The Kanerva Machine: A Generative Distributed Memory,1.000,2018,International Conference on Learning Representations
S1GUgxgCW,arxiv_batch,,,,,
S1EwLkW0W,arxiv_batch,229,Dissecting Adam: The Sign; Magnitude and Variance of Stochastic Gradients,1.000,2017,International Conference on Machine Learning
S1Euwz-Rb,arxiv_batch,623,Compositional Attention Networks for Machine Reasoning,1.000,2018,International Conference on Learning Representations
S1Dh8Tg0-,arxiv_batch,,,,,
S1DWPP1A-,arxiv_batch,102,Unsupervised Learning of Goal Spaces for Intrinsically Motivated Goal Exploration,1.000,2018,International Conference on Learning Representations
S1ANxQW0b,arxiv_batch,,,,,
S191YzbRZ,arxiv_batch,1,Prototype Matching Networks for Large-Scale Multi-label Genomic Sequence Classification,0.994,2017,arXiv.org
S14EogZAZ,arxiv_batch,8,Acquiring Target Stacking Skills by Goal-Parameterized Deep Reinforcement Learning,1.000,2017,arXiv.org
HyzbhfWRW,arxiv_batch,474,Learn To Pay Attention,1.000,2018,International Conference on Learning Representations
HyyP33gAZ,arxiv_batch,,,,,
HytSvlWRZ,arxiv_batch,11,Subspace Network: Deep Multi-Task Censored Regression for Modeling Neurodegenerative Diseases,1.000,2018,Knowledge Discovery and Data Mining
HyrCWeWCb,arxiv_batch,115,Trust-PCL: An Off-Policy Trust Region Method for Continuous Control,1.000,2017,International Conference on Learning Representations
HypkN9yRW,arxiv_batch,33,DDRprog: A CLEVR Differentiable Dynamic Reasoning Programmer,1.000,2018,arXiv.org
HymYLebCb,arxiv_batch,8,Network Signatures from Image Representation of Adjacency Matrices: Deep/Transfer Learning for Subgraph Classification,1.000,2018,arXiv.org
HyjC5yWCW,arxiv_batch,235,Meta-Learning and Universality: Deep Representations and Gradient Descent can Approximate any Learning Algorithm,1.000,2017,International Conference on Learning Representations
HyfHgI6aW,arxiv_batch,80,Memory Augmented Control Networks,1.000,2017,International Conference on Learning Representations
HyXNCZbCZ,arxiv_batch,29,Hierarchical Adversarially Learned Inference,1.000,2018,arXiv.org
HyXBcYg0b,arxiv_batch,623,Residual Gated Graph ConvNets,1.000,2017,arXiv.org
HyWrIgW0W,arxiv_batch,339,Stochastic Gradient Descent Performs Variational Inference; Converges to Limit Cycles for Deep Networks,1.000,2017,Information Theory and Applications Workshop
HyUNwulC-,arxiv_batch,173,Parallelizing Linear Recurrent Neural Nets Over Sequence Length,1.000,2017,International Conference on Learning Representations
HyRnez-RW,arxiv_batch,35,Multi-Mention Learning for Reading Comprehension with Neural Cascades,1.000,2017,International Conference on Learning Representations
HyRVBzap-,arxiv_batch,106,Cascade Adversarial Machine Learning Regularized with a Unified Embedding,1.000,2017,International Conference on Learning Representations
HyEi7bWR-,arxiv_batch,,,,,
Hy7EPh10W,arxiv_batch,,,,,
HkxF5RgC-,arxiv_batch,30,Sparse Persistent RNNs: Squeezing Large Recurrent Networks On-Chip,1.000,2018,International Conference on Learning Representations
HkwVAXyCW,arxiv_batch,236,Skip RNN: Learning to Skip State Updates in Recurrent Neural Networks,1.000,2017,International Conference on Learning Representations
HkuGJ3kCb,arxiv_batch,403,All-but-the-Top: Simple and Effective Postprocessing for Word Representations,1.000,2017,International Conference on Learning Representations
HktJec1RZ,arxiv_batch,3,Toward Neural Phrase-based Machine Translation,0.989,2017,
Hksj2WWAW,arxiv_batch,5,Combining Symbolic and Function Evaluation Expressions In Neural Programs,0.795,2018,arXiv.org
HkpRBFxRb,arxiv_batch,6,Learning to Mix n-Step Returns: Generalizing lambda-Returns for Deep Reinforcement Learning,1.000,2017,
HknbyQbC-,arxiv_batch,,,,,
HkepKG-Rb,arxiv_batch,549,A Semantic Loss Function for Deep Learning with Symbolic Knowledge,1.000,2017,International Conference on Machine Learning
HkUR_y-RZ,arxiv_batch,51,SEARNN: Training RNNs with Global-Local Losses,1.000,2017,International Conference on Learning Representations
HkTEFfZRb,arxiv_batch,113,Attacking Binarized Neural Networks,1.000,2017,International Conference on Learning Representations
HkOhuyA6-,arxiv_batch,23,Classifying Graphs as Images with Convolutional Neural Networks,0.744,2017,arXiv.org
HkNGsseC-,arxiv_batch,10,On the Expressive Power of Overlapping Operations of Deep Networks,0.785,2017,arXiv.org
HkMvEOlAb,arxiv_batch,32,Learning Latent Representations in Neural Networks for Clustering through Pseudo Supervision and Graph-based Activity Regularization,1.000,2018,International Conference on Learning Representations
HkGcX--0-,arxiv_batch,20,Auxiliary Guided Autoregressive Variational Autoencoders,1.000,2017,ECML/PKDD
Hk9Xc_lR-,arxiv_batch,110,On the Discrimination-Generalization Tradeoff in GANs,1.000,2017,International Conference on Learning Representations
Hk99zCeAb,arxiv_batch,8646,Progressive Growing of GANs for Improved Quality; Stability; and Variation,1.000,2017,International Conference on Learning Representations
Hk8XMWgRb,arxiv_batch,,,,,
Hk6WhagRW,arxiv_batch,,,,,
Hk2MHt-3-,arxiv_batch,37,Coupled Ensembles of Neural Networks,1.000,2017,International Conference on Content-Based Multimedia Indexing
Hk0wHx-RW,arxiv_batch,33,Learning Sparse Latent Representations with the Deep Copula Information Bottleneck,1.000,2018,International Conference on Learning Representations
HJtEm4p6Z,arxiv_batch,322,Deep Voice 3: 2000-Speaker Neural Text-to-Speech,0.509,2017,International Conference on Learning Representations
HJnQJXbC-,arxiv_batch,37,AMPNet: Asynchronous Model-Parallel Training for Dynamic Neural Networks,1.000,2017,arXiv.org
HJcjQTJ0W,arxiv_batch,18,PrivyNet: A Flexible Framework for Privacy-Preserving Deep Neural Network Training with A Fine-Grained Privacy Control,0.821,2017,arXiv.org
HJcSzz-CZ,arxiv_batch,1443,Meta-Learning for Semi-Supervised Few-Shot Classification,1.000,2018,International Conference on Learning Representations
HJaDJZ-0W,arxiv_batch,147,Block-Sparse Recurrent Neural Networks,1.000,2017,arXiv.org
HJ_aoCyRZ,arxiv_batch,330,SpectralNet: Spectral Clustering using Deep Neural Networks,1.000,2018,International Conference on Learning Representations
HJZiRkZC-,arxiv_batch,3,Byte-Level Recursive Convolutional Auto-Encoder for Text,1.000,2018,arXiv.org
HJWGdbbCW,arxiv_batch,347,Reinforcement and Imitation Learning for Diverse Visuomotor Skills,1.000,2018,Robotics: Science and Systems Conference
HJUOHGWRb,arxiv_batch,89,Contextual Explanation Networks,1.000,2017,Journal of machine learning research
HJSA_e1AW,arxiv_batch,31,Normalized Direction-preserving Adam,1.000,2017,arXiv.org
HJRV1ZZAW,arxiv_batch,16,Fast Reading Comprehension with ConvNets,1.000,2017,arXiv.org
HJOQ7MgAW,arxiv_batch,35,Long Short-Term Memory as a Dynamically Computed Element-wise Weighted Sum,1.000,2018,Annual Meeting of the Association for Computational Linguistics
HJIoJWZCZ,arxiv_batch,296,Adversarial Dropout Regularization,1.000,2017,International Conference on Learning Representations
HJIhGXWCZ,arxiv_batch,26,Prediction Under Uncertainty with Error-Encoding Networks,0.991,2017,arXiv.org
HJDV5YxCW,arxiv_batch,29,Heterogeneous Bitwidth Binarization in Convolutional Neural Networks,1.000,2018,Neural Information Processing Systems
HJCXZQbAZ,arxiv_batch,48,Hierarchical Density Order Embeddings,1.000,2018,International Conference on Learning Representations
HJC2SzZCW,arxiv_batch,,,,,
HJ94fqApW,arxiv_batch,432,Rethinking the Smaller-Norm-Less-Informative Assumption in Channel Pruning of Convolution Layers,1.000,2018,International Conference on Learning Representations
HJ5AUm-CZ,arxiv_batch,70,The Variational Homoencoder: Learning to learn high capacity generative models from few examples,0.952,2018,Conference on Uncertainty in Artificial Intelligence
HJ4IhxZAb,arxiv_batch,97,Meta-Learning Transferable Active Learning Policies by Deep Reinforcement Learning,1.000,2018,arXiv.org
H1xJjlbAZ,arxiv_batch,1045,Interpretation of Neural Networks is Fragile,0.989,2017,AAAI Conference on Artificial Intelligence
H1wt9x-RW,arxiv_batch,14,Interpretable and Pedagogical Examples,1.000,2017,arXiv.org
H1vEXaxA-,arxiv_batch,69,Emergent Translation in Multi-Agent Communication,1.000,2017,International Conference on Learning Representations
H1uR4GZRZ,arxiv_batch,581,Stochastic Activation Pruning for Robust Adversarial Defense,1.000,2018,International Conference on Learning Representations
H1uP7ebAW,arxiv_batch,372,Learning to diagnose from scratch by exploiting dependencies among labels,1.000,2017,arXiv.org
H1sUHgb0Z,arxiv_batch,170,Learning From Noisy Singly-labeled Data,1.000,2017,International Conference on Learning Representations
H1pri9vTZ,arxiv_batch,12,Deep Function Machines: Generalized Neural Networks for Topological Layer Expression,1.000,2016,arXiv.org
