paper_id,year,citation_pct_rank,answer,p_high,p_low,p_unknown,fame,fame_ud
rJYFzMZC-,2018,0.488962472406181,unknown,0.000000,0.000000,1.000000,0.000000,-0.000000
rJk51gJRb,2018,0.3018867924528302,unknown,0.000000,0.000000,1.000000,0.000000,-0.000000
r1q7n9gAb,2018,0.3653421633554083,high,1.000000,0.000000,0.000000,1.000000,1.000000
Skj8Kag0Z,2018,0.2947019867549669,unknown,0.000000,0.000000,1.000000,0.000000,-0.000000
Hk0wHx-RW,2018,0.3498896247240618,low,0.000000,0.999999,0.000001,0.999999,-0.999999
SJyEH91A-,2018,0.2792494481236203,unknown,0.000000,0.000000,1.000000,0.000000,-0.000000
HJJ23bW0b,2018,0.4050772626931567,unknown,0.000000,0.000000,1.000000,0.000000,-0.000000
Hksj2WWAW,2018,0.2792494481236203,unknown,0.000000,0.000000,1.000000,0.000000,-0.000000
HkMvEOlAb,2018,0.4050772626931567,unknown,0.000000,0.000000,1.000000,0.000000,-0.000000
SJQHjzZ0-,2018,0.379746835443038,low,0.000000,0.999999,0.000001,0.999999,-0.999999
HklpCzC6-,2018,0.5333333333333333,unknown,0.000000,0.000000,1.000000,0.000000,-0.000000
ByJWeR1AW,2018,0.6997792494481236,unknown,0.000000,0.000000,1.000000,0.000000,-0.000000
rJm7VfZA-,2018,0.3018867924528302,low,0.000000,0.999664,0.000336,0.999664,-0.999664
B1KFAGWAZ,2018,0.6132075471698113,unknown,0.000000,0.000001,1.000000,0.000001,-0.000001
r1DPFCyA-,2018,0.5772626931567328,unknown,0.000000,0.000000,1.000000,0.000000,-0.000000
rk4Fz2e0b,2018,0.6004415011037527,unknown,0.000000,0.000000,1.000000,0.000000,-0.000000
HkepKG-Rb,2018,0.6854304635761589,unknown,0.000000,0.000000,1.000000,0.000000,-0.000000
SksY3deAW,2018,0.5209713024282561,unknown,0.000000,0.000000,1.000000,0.000000,-0.000000
H1rRWl-Cb,2018,0.5419426048565121,unknown,0.000000,0.000000,1.000000,0.000000,-0.000000
r1YqWz-R-,2018,0.6962025316455697,low,0.000000,0.999965,0.000035,0.999965,-0.999965
B1mvVm-C-,2018,0.2735849056603773,unknown,0.000000,0.000000,1.000000,0.000000,-0.000000
HyMTkQZAb,2018,0.6169977924944813,high,1.000000,0.000000,0.000000,1.000000,1.000000
r1hsJCe0Z,2018,0.5099337748344371,unknown,0.000000,0.000000,1.000000,0.000000,-0.000000
Bki4EfWCb,2018,0.7196467991169978,low,0.000000,0.999999,0.000001,0.999999,-0.999999
SygwwGbRW,2018,0.6509433962264151,unknown,0.000000,0.000000,1.000000,0.000000,-0.000000
rknt2Be0-,2018,0.5518763796909493,unknown,0.000000,0.000000,1.000000,0.000000,-0.000000
HJzgZ3JCW,2018,0.6103752759381899,low,0.000000,0.999998,0.000002,0.999998,-0.999998
HyfHgI6aW,2018,0.5990566037735849,low,0.000000,0.999999,0.000001,0.999999,-0.999999
rkN2Il-RZ,2018,0.6578366445916115,unknown,0.000000,0.000000,1.000000,0.000000,-0.000000
HyyP33gAZ,2018,0.6075949367088608,unknown,0.000000,0.000000,1.000000,0.000000,-0.000000
ryazCMbR-,2018,0.6169977924944813,unknown,0.000000,0.000000,1.000000,0.000000,-0.000000
ry1arUgCW,2018,0.5849056603773585,unknown,0.000000,0.000000,1.000000,0.000000,-0.000000
HkfXMz-Ab,2018,0.6645569620253164,unknown,0.000000,0.000000,1.000000,0.000000,-0.000000
HJsjkMb0Z,2018,0.6622516556291391,low,0.000000,1.000000,0.000000,1.000000,-1.000000
H1bM1fZCW,2018,0.93598233995585,high,1.000000,0.000000,0.000000,1.000000,1.000000
r1Oen--RW,2018,0.933774834437086,high,1.000000,0.000000,0.000000,1.000000,1.000000
By5ugjyCb,2018,0.9668874172185432,high,1.000000,0.000000,0.000000,1.000000,1.000000
BJJ9bz-0-,2018,0.7924528301886793,unknown,0.000000,0.000000,1.000000,0.000000,-0.000000
ByJHuTgA-,2018,0.5958904109589042,low,0.000000,0.999999,0.000001,0.999999,-0.999999
ryj38zWRb,2018,0.8481012658227848,unknown,0.000000,0.000000,1.000000,0.000000,-0.000000
Sy1f0e-R-,2018,0.8498896247240618,low,0.000000,0.999999,0.000001,0.999999,-0.999999
Sy0GnUxCb,2018,0.8584905660377359,unknown,0.000000,0.000000,1.000000,0.000000,-0.000000
BJInEZsTb,2018,0.930379746835443,unknown,0.000000,0.000000,1.000000,0.000000,-0.000000
Syx6bz-Ab,2018,0.9863013698630136,low,0.000000,0.999999,0.000001,0.999999,-0.999999
B1ZvaaeAZ,2018,0.8211920529801324,low,0.000000,1.000000,0.000000,1.000000,-1.000000
rkhlb8lCZ,2018,0.7792494481236203,low,0.000000,1.000000,0.000000,1.000000,-1.000000
SJiHXGWAZ,2018,0.9448123620309052,high,1.000000,0.000000,0.000000,1.000000,1.000000
rkZvSe-RZ,2018,0.9955849889624724,high,1.000000,0.000000,0.000000,1.000000,1.000000
rJBiunlAW,2018,0.7682119205298014,low,0.000000,1.000000,0.000000,1.000000,-1.000000
ryZ283gAZ,2018,0.7991169977924945,unknown,0.000379,0.000000,0.000000,0.000379,0.000379
SkhQHMW0W,2018,0.9536423841059604,high,1.000000,0.000000,0.000000,1.000000,1.000000
H113pWZRb,2018,0.8587196467991169,low,0.000000,1.000000,0.000000,1.000000,-1.000000
rJg4YGWRb,2018,0.8785871964679912,unknown,0.000021,0.000000,0.000000,0.000021,0.000021
ByBAl2eAZ,2018,0.9622641509433962,high,1.000000,0.000000,0.000000,1.000000,1.000000
rJl3yM-Ab,2018,0.8082191780821918,unknown,0.000000,0.000000,1.000000,0.000000,-0.000000
HyxpNnRcFX,2019,0.1031746031746031,unknown,0.000000,0.000001,0.999999,0.000001,-0.000001
B1eXbn05t7,2019,0.1623931623931624,unknown,0.000000,0.000000,1.000000,0.000000,-0.000000
HJ_aoCyRZ,2018,0.7649006622516556,unknown,0.000000,0.000000,1.000000,0.000000,-0.000000
SJJinbWRZ,2018,0.9245283018867924,unknown,0.000000,0.000000,1.000000,0.000000,-0.000000
rylSzl-R-,2018,0.759493670886076,low,0.000000,0.999999,0.000001,0.999999,-0.999999
SygK6sA5tX,2019,0.1603174603174603,unknown,0.000000,0.000000,1.000000,0.000000,-0.000000
rkx0g3R5tX,2019,0.0325396825396825,unknown,0.000000,0.000040,0.999960,0.000040,-0.000040
SkGtjjR5t7,2019,0.0551948051948051,unknown,0.000000,0.000000,1.000000,0.000000,-0.000000
HJgJS30qtm,2019,0.0325396825396825,low,0.000000,0.999972,0.000028,0.999972,-0.999972
By-7dz-AZ,2018,0.8565121412803532,unknown,0.000051,0.000000,0.000000,0.000051,0.000051
rkMW1hRqKX,2019,0.2547619047619047,unknown,0.000000,0.000000,1.000000,0.000000,-0.000000
SkeUG30cFQ,2019,0.0325396825396825,unknown,0.000000,0.000000,1.000000,0.000000,-0.000000
SJggZnRcFQ,2019,0.2547619047619047,unknown,0.000000,0.000000,1.000000,0.000000,-0.000000
r1gRCiA5Ym,2019,0.1031746031746031,low,0.000000,0.999999,0.000001,0.999999,-0.999999
rJlJ-2CqtX,2019,0.1363636363636363,unknown,0.000000,0.000001,0.999999,0.000001,-0.000001
HkElFj0qYQ,2019,0.1603174603174603,low,0.000000,0.999996,0.000004,0.999996,-0.999996
B1GMDsR5tm,2019,0.2547619047619047,low,0.000000,1.000000,0.000000,1.000000,-1.000000
rkgoyn09KQ,2019,0.1951219512195122,low,0.000000,0.999994,0.000006,0.999994,-0.999994
S1EERs09YQ,2019,0.2547619047619047,unknown,0.000000,0.000000,1.000000,0.000000,-0.000000
HylTXn0qYX,2019,0.2253968253968254,unknown,0.000000,0.000000,1.000000,0.000000,-0.000000
rJgTTjA9tX,2019,0.196031746031746,unknown,0.000000,0.000000,1.000000,0.000000,-0.000000
H1lS8oA5YQ,2019,0.1603174603174603,unknown,0.000000,0.000000,1.000000,0.000000,-0.000000
rkemqsC9Fm,2019,0.196031746031746,unknown,0.000000,0.000000,1.000000,0.000000,-0.000000
S1xNb2A9YX,2019,0.2253968253968254,unknown,0.000000,0.000000,1.000000,0.000000,-0.000000
SJe8DsR9tm,2019,0.1031746031746031,unknown,0.000000,0.000000,1.000000,0.000000,-0.000000
Sklsm20ctX,2019,0.2435064935064935,low,0.000000,0.999995,0.000005,0.999995,-0.999995
Hyed4i05KX,2019,0.3373015873015873,unknown,0.000000,0.000000,1.000000,0.000000,-0.000000
H1g0piA9tQ,2019,0.3373015873015873,unknown,0.000000,0.000000,1.000000,0.000000,-0.000000
HJfwJ2A5KX,2019,0.2547619047619047,low,0.000000,0.999988,0.000012,0.999988,-0.999988
rylxxhRctX,2019,0.3034188034188034,unknown,0.000000,0.000001,0.999999,0.000001,-0.000001
SJgiNo0cKX,2019,0.34,unknown,0.000000,0.000000,1.000000,0.000000,-0.000000
r1MSBjA9Ym,2019,0.4103174603174603,low,0.000000,0.999999,0.000001,0.999999,-0.999999
rkgpCoRctm,2019,0.430952380952381,low,0.000000,0.999945,0.000055,0.999945,-0.999945
HJG7m2AcF7,2019,0.3373015873015873,low,0.000000,1.000000,0.000000,1.000000,-1.000000
B1fpDsAqt7,2019,0.2253968253968254,unknown,0.000000,0.000000,1.000000,0.000000,-0.000000
SJzYdsAqY7,2019,0.3619047619047619,low,0.000000,0.999976,0.000024,0.999976,-0.999976
HkekMnR5Ym,2019,0.2873015873015873,unknown,0.000000,0.000404,0.999595,0.000404,-0.000404
HkxjYoCqKX,2019,0.4984126984126984,unknown,0.000000,0.000000,1.000000,0.000000,-0.000000
B1G5ViAqFm,2019,0.3373015873015873,low,0.000000,0.999929,0.000071,0.999929,-0.999929
Ske7ToC5Km,2019,0.3373015873015873,unknown,0.000000,0.000000,1.000000,0.000000,-0.000000
HkgDTiCctQ,2019,0.4103174603174603,unknown,0.000000,0.000000,1.000000,0.000000,-0.000000
H1zeHnA9KX,2019,0.3865079365079365,unknown,0.000000,0.000000,1.000000,0.000000,-0.000000
ByeLBj0qFQ,2019,0.4103174603174603,low,0.000000,0.999972,0.000028,0.999972,-0.999972
SygQvs0cFQ,2019,0.2804878048780488,unknown,0.000000,0.000000,1.000000,0.000000,-0.000000
BJg9DoR9t7,2019,0.430952380952381,low,0.000000,0.999999,0.000001,0.999999,-0.999999
B1gstsCqt7,2019,0.2873015873015873,unknown,0.000000,0.000000,1.000000,0.000000,-0.000000
ryGfnoC5KQ,2019,0.3865079365079365,low,0.000000,0.999967,0.000033,0.999967,-0.999967
rJg4J3CqFm,2019,0.3619047619047619,unknown,0.000000,0.000000,1.000000,0.000000,-0.000000
HkgSEnA5KQ,2019,0.3409090909090909,unknown,0.000000,0.000000,1.000000,0.000000,-0.000000
rJlRKjActQ,2019,0.6365079365079365,high,1.000000,0.000000,0.000000,1.000000,1.000000
r1eJssCqY7,2019,0.6246031746031746,unknown,0.000000,0.000000,1.000000,0.000000,-0.000000
rkevMnRqYQ,2019,0.4512987012987013,unknown,0.000000,0.000000,1.000000,0.000000,-0.000000
H1lug3R5FX,2019,0.7285714285714285,unknown,0.000000,0.000000,1.000000,0.000000,-0.000000
HyM7AiA5YX,2019,0.4817460317460317,unknown,0.000000,0.000000,1.000000,0.000000,-0.000000
B1xeyhCctQ,2019,0.5571428571428572,unknown,0.000000,0.000000,1.000000,0.000000,-0.000000
SJxCsj0qYX,2019,0.594017094017094,unknown,0.000000,0.000000,1.000000,0.000000,-0.000000
B1exrnCcF7,2019,0.4817460317460317,low,0.000000,0.999995,0.000005,0.999995,-0.999995
ryeNPi0qKX,2019,0.7073170731707317,unknown,0.000000,0.000000,1.000000,0.000000,-0.000000
Hkl-di09FQ,2019,0.5454545454545454,unknown,0.000000,0.000000,1.000000,0.000000,-0.000000
HJeuOiRqKQ,2019,0.5158730158730159,low,0.000000,1.000000,0.000000,1.000000,-1.000000
HJz05o0qK7,2019,0.5888888888888889,unknown,0.000000,0.000000,1.000000,0.000000,-0.000000
rke_YiRct7,2019,0.6150793650793651,low,0.000000,0.999954,0.000046,0.999954,-0.999954
ryl8-3AcFX,2019,0.6363636363636364,unknown,0.000000,0.000000,1.000000,0.000000,-0.000000
HyxBpoR5tm,2019,0.5158730158730159,low,0.000000,0.999938,0.000062,0.999938,-0.999938
HyllasActm,2019,0.7008547008547008,low,0.000000,0.999995,0.000005,0.999995,-0.999995
rJzLciCqKm,2019,0.746031746031746,unknown,0.000000,0.000000,1.000000,0.000000,-0.000000
rygnfn0qF7,2019,0.524390243902439,low,0.000000,0.999998,0.000002,0.999998,-0.999998
SJequsCqKQ,2019,0.6246031746031746,unknown,0.000000,0.000000,1.000000,0.000000,-0.000000
ByetGn0cYX,2019,0.5974025974025974,unknown,0.000000,0.000000,1.000000,0.000000,-0.000000
ByzcS3AcYX,2019,0.5670731707317073,unknown,0.000000,0.000000,1.000000,0.000000,-0.000000
ryxSrhC9KX,2019,0.5952380952380952,unknown,0.000000,0.000000,1.000000,0.000000,-0.000000
HyxzRsR9Y7,2019,0.5876623376623377,unknown,0.000000,0.000000,1.000000,0.000000,-0.000000
SkNksoRctQ,2019,0.6246031746031746,low,0.000000,1.000000,0.000000,1.000000,-1.000000
SkxXg2C5FX,2019,0.5975609756097561,unknown,0.000000,0.000001,0.999999,0.000001,-0.000001
SyNPk2R9K7,2019,0.6611111111111111,unknown,0.000000,0.000000,1.000000,0.000000,-0.000000
r1GkMhAqYm,2019,0.7987804878048781,low,0.000000,1.000000,0.000000,1.000000,-1.000000
Bygre3R9Fm,2019,0.7948717948717948,unknown,0.000000,0.000000,1.000000,0.000000,-0.000000
S1MAriC5F7,2019,0.8809523809523809,low,0.000000,0.998297,0.001703,0.998297,-0.998297
rke41hC5Km,2019,0.8333333333333334,unknown,0.000000,0.000000,1.000000,0.000000,-0.000000
Hyx4knR9Ym,2019,0.7126984126984127,low,0.000000,0.999980,0.000020,0.999980,-0.999980
BkMWx309FX,2019,0.9090909090909092,unknown,0.000000,0.000000,1.000000,0.000000,-0.000000
rJl-b3RcF7,2019,0.9984126984126984,high,1.000000,0.000000,0.000000,1.000000,1.000000
rJfUCoR5KX,2019,0.8095238095238095,unknown,0.000000,0.000000,1.000000,0.000000,-0.000000
ryewE3R5YX,2019,0.7792207792207793,unknown,0.000000,0.000000,1.000000,0.000000,-0.000000
r1l73iRqKm,2019,0.9878048780487804,high,1.000000,0.000000,0.000000,1.000000,1.000000
rJeZS3RcYm,2019,0.9365079365079364,high,0.999999,0.000000,0.000001,0.999999,0.999998
rJMcdsA5FX,2019,0.8365079365079365,low,0.000000,0.999965,0.000035,0.999965,-0.999965
rygkk305YQ,2019,0.7606837606837606,unknown,0.000000,0.000000,1.000000,0.000000,-0.000000
ByeTHsAqtX,2019,0.8960317460317461,low,0.000000,0.999995,0.000005,0.999995,-0.999995
BJGVX3CqYm,2019,0.957936507936508,unknown,0.000000,0.000000,1.000000,0.000000,-0.000000
rJl0r3R9KX,2019,0.7896825396825397,unknown,0.000000,0.000000,1.000000,0.000000,-0.000000
B1xsqj09Fm,2019,1.0,high,1.000000,0.000000,0.000000,1.000000,1.000000
BJl6AjC5F7,2019,0.7587301587301587,unknown,0.000000,0.000000,1.000000,0.000000,-0.000000
rke5R1SFwS,2020,0.2147435897435897,unknown,0.000000,0.000000,1.000000,0.000000,-0.000000
Syl7OsRqY7,2019,0.7682926829268293,unknown,0.000000,0.000000,1.000000,0.000000,-0.000000
ryeFzT4YPr,2020,0.25,unknown,0.000000,0.000000,1.000000,0.000000,-0.000000
H1eRBoC9FX,2019,0.8051948051948052,low,0.000000,1.000000,0.000000,1.000000,-1.000000
rkgc06VtwH,2020,0.1428571428571428,unknown,0.000000,0.000000,1.000000,0.000000,-0.000000
B1e0X3C9tQ,2019,0.8760683760683761,unknown,0.000000,0.000000,1.000000,0.000000,-0.000000
rkglZyHtvH,2020,0.2147435897435897,unknown,0.000000,0.000000,1.000000,0.000000,-0.000000
HyxnZh0ct7,2019,0.9317460317460318,unknown,0.000000,0.000000,1.000000,0.000000,-0.000000
B1l6qiR5F7,2019,0.8780487804878049,low,0.000000,1.000000,0.000000,1.000000,-1.000000
ryGWhJBtDB,2020,0.048076923076923,unknown,0.000000,0.000000,1.000000,0.000000,-0.000000
rJx8ylSKvr,2020,0.048076923076923,unknown,0.000000,0.000000,1.000000,0.000000,-0.000000
ryl5CJSFPS,2020,0.048076923076923,unknown,0.000000,0.000000,1.000000,0.000000,-0.000000
rJgFjREtwr,2020,0.1378205128205128,unknown,0.000000,0.000000,1.000000,0.000000,-0.000000
rJxG3pVKPB,2020,0.048076923076923,unknown,0.000000,0.000001,0.999999,0.000001,-0.000001
ryex8CEKPr,2020,0.048076923076923,unknown,0.000000,0.000000,1.000000,0.000000,-0.000000
HkxaFoC9KQ,2019,0.9545454545454546,high,0.999999,0.000000,0.000001,0.999999,0.999999
ryxtCpNtDS,2020,0.25,unknown,0.000000,0.000000,1.000000,0.000000,-0.000000
rkxmPgrKwB,2020,0.048076923076923,unknown,0.000000,0.000000,1.000000,0.000000,-0.000000
rygjmpVFvB,2020,0.25,low,0.000000,0.999962,0.000038,0.999962,-0.999962
rkecJ6VFvr,2020,0.048076923076923,unknown,0.000000,0.000000,1.000000,0.000000,-0.000000
rkgU1gHtvr,2020,0.21875,unknown,0.000000,0.000000,1.000000,0.000000,-0.000000
rkeIq2VYPr,2020,0.2147435897435897,unknown,0.000000,0.000085,0.999915,0.000085,-0.000085
SklVEnR5K7,2019,0.9825396825396824,unknown,0.000502,0.000000,0.000000,0.000502,0.000502
rJx4p3NYDB,2020,0.2147435897435897,low,0.000000,1.000000,0.000000,1.000000,-1.000000
rkxNelrKPB,2020,0.391025641025641,unknown,0.000000,0.000000,1.000000,0.000000,-0.000000
rye5YaEtPr,2020,0.2147435897435897,unknown,0.000000,0.000000,1.000000,0.000000,-0.000000
ryxtWgSKPB,2020,0.4294871794871794,unknown,0.000000,0.000000,1.000000,0.000000,-0.000000
rJlf_RVKwr,2020,0.4487179487179487,unknown,0.000000,0.000000,1.000000,0.000000,-0.000000
rJgQkT4twH,2020,0.1,unknown,0.000000,0.000000,1.000000,0.000000,-0.000000
ryestJBKPB,2020,0.3621794871794871,unknown,0.000000,0.000000,1.000000,0.000000,-0.000000
rJxtgJBKDr,2020,0.1378205128205128,low,0.000000,0.999990,0.000010,0.999990,-0.999990
rJlnfaNYvB,2020,0.3621794871794871,unknown,0.000000,0.000000,1.000000,0.000000,-0.000000
rke2HRVYvH,2020,0.4487179487179487,unknown,0.000000,0.000000,1.000000,0.000000,-0.000000
rJxBa1HFvS,2020,0.34375,unknown,0.000000,0.000000,1.000000,0.000000,-0.000000
rkliHyrFDB,2020,0.4375,unknown,0.000000,0.000000,1.000000,0.000000,-0.000000
rkx3-04FwB,2020,0.4134615384615384,unknown,0.000000,0.000000,1.000000,0.000000,-0.000000
rJxt0JHKvS,2020,0.3333333333333333,unknown,0.000000,0.000000,1.000000,0.000000,-0.000000
rkeNfp4tPr,2020,0.391025641025641,unknown,0.000000,0.000000,1.000000,0.000000,-0.000000
ryxz8CVYDH,2020,0.3621794871794871,unknown,0.000000,0.000000,1.000000,0.000000,-0.000000
rkx-wA4YPS,2020,0.3012820512820512,unknown,0.000000,0.000000,1.000000,0.000000,-0.000000
rke-f6NKvS,2020,0.265625,unknown,0.000000,0.000000,1.000000,0.000000,-0.000000
rJxX8T4Kvr,2020,0.3012820512820512,unknown,0.000000,0.000000,1.000000,0.000000,-0.000000
rJxe3xSYDS,2020,0.391025641025641,unknown,0.000000,0.000000,1.000000,0.000000,-0.000000
rkevSgrtPr,2020,0.4294871794871794,unknown,0.000000,0.000000,1.000000,0.000000,-0.000000
ryen_CEFwr,2020,0.3333333333333333,unknown,0.000000,0.000000,1.000000,0.000000,-0.000000
rkgfdeBYvH,2020,0.4903846153846153,low,0.000000,0.999820,0.000180,0.999820,-0.999820
rklr9kHFDB,2020,0.3012820512820512,unknown,0.000000,0.000000,1.000000,0.000000,-0.000000
rklHqRVKvH,2020,0.484375,unknown,0.000000,0.000000,1.000000,0.000000,-0.000000
rkeYL1SFvH,2020,0.7142857142857143,high,1.000000,0.000000,0.000000,1.000000,1.000000
rJxlc0EtDr,2020,0.391025641025641,unknown,0.000000,0.000000,1.000000,0.000000,-0.000000
rklk_ySYPB,2020,0.266025641025641,unknown,0.000000,0.000000,1.000000,0.000000,-0.000000
rJlNKCNtPB,2020,0.5480769230769231,low,0.000000,1.000000,0.000001,1.000000,-1.000000
rkxVz1HKwB,2020,0.6826923076923077,unknown,0.000000,0.000000,1.000000,0.000000,-0.000000
ryga2CNKDH,2020,0.6071428571428571,unknown,0.000000,0.000000,1.000000,0.000000,-0.000000
ryedqa4FwS,2020,0.6826923076923077,low,0.000000,0.999942,0.000058,0.999942,-0.999942
rygwLgrYPB,2020,0.4134615384615384,low,0.000000,0.999999,0.000001,0.999999,-0.999999
ryl0cAVtPH,2020,0.5128205128205128,unknown,0.000000,0.000000,1.000000,0.000000,-0.000000
rklFh34Kwr,2020,0.6282051282051282,unknown,0.000000,0.000000,1.000000,0.000000,-0.000000
rygePJHYPH,2020,0.5480769230769231,unknown,0.000000,0.000000,1.000000,0.000000,-0.000000
rJggX0EKwS,2020,0.5480769230769231,unknown,0.000000,0.000000,1.000000,0.000000,-0.000000
rklTmyBKPH,2020,0.592948717948718,unknown,0.000000,0.000000,1.000000,0.000000,-0.000000
rkg-mA4FDr,2020,0.5714285714285714,unknown,0.000000,0.000000,1.000000,0.000000,-0.000000
rJgjGxrFPS,2020,0.55,unknown,0.000000,0.000000,1.000000,0.000000,-0.000000
rkxuWaVYDB,2020,0.6666666666666666,unknown,0.000000,0.000000,1.000000,0.000000,-0.000000
rJgJDAVKvB,2020,0.65625,unknown,0.000000,0.000000,1.000000,0.000000,-0.000000
ryg8wpEtvB,2020,0.7403846153846154,unknown,0.000000,0.000000,1.000000,0.000000,-0.000000
rylBK34FDS,2020,0.5128205128205128,low,0.000000,0.999995,0.000005,0.999995,-0.999995
rkgg6xBYDH,2020,0.6506410256410257,unknown,0.000000,0.000000,1.000000,0.000000,-0.000000
rJxycxHKDS,2020,0.592948717948718,unknown,0.000000,0.000000,1.000000,0.000000,-0.000000
rkxs0yHFPH,2020,0.5128205128205128,low,0.000000,0.999999,0.000001,0.999999,-0.999999
rJgqMRVYvr,2020,0.7211538461538461,unknown,0.000000,0.000000,1.000000,0.000000,-0.000000
rkgvXlrKwH,2020,0.71875,low,0.000000,1.000000,0.000000,1.000000,-1.000000
rklklCVYvB,2020,0.8557692307692307,high,1.000000,0.000000,0.000000,1.000000,1.000000
rygfnn4twS,2020,0.7403846153846154,low,0.000000,1.000000,0.000000,1.000000,-1.000000
rJlUt0EYwS,2020,0.6506410256410257,unknown,0.000000,0.000000,1.000000,0.000000,-0.000000
rkezdaEtvH,2020,0.953125,unknown,0.000000,0.000000,1.000000,0.000000,-0.000000
rJxGLlBtwH,2020,0.6875,low,0.000000,0.999769,0.000231,0.999769,-0.999769
rygvFyrKwH,2020,0.9102564102564102,unknown,0.000000,0.000000,1.000000,0.000000,-0.000000
rJgffkSFPS,2020,0.8012820512820513,unknown,0.000000,0.000000,1.000000,0.000000,-0.000000
rkltE0VKwH,2020,0.78125,unknown,0.000000,0.000000,1.000000,0.000000,-0.000000
rkeNr6EKwB,2020,0.7857142857142857,low,0.000000,0.999980,0.000020,0.999980,-0.999980
ryg7vA4tPB,2020,0.9294871794871796,low,0.000000,0.999996,0.000004,0.999996,-0.999996
