paper_id,year,citations,influential,source,tier,matched_by,title_sim,author_overlap,s2_paper_id,s2_corpus_id,fetched_window
BkXmYfbAZ,2018,98.0,9.0,s2_api_2026-08-14..2026-08-16,A,arxiv_id,1.0,2.0,c4f3375dab1886f37f542d998e61d8c30a927682,3285020.0,2026-08-14..2026-08-16
BkVsWbbAW,2018,162.0,2.0,s2_api_2026-08-14..2026-08-16,A,arxiv_id,1.0,3.0,85568efbb7658c96254b39815a7662f56c9a333d,3125754.0,2026-08-14..2026-08-16
BkVf1AeAZ,2018,43.0,2.0,s2_api_2026-08-14..2026-08-16,A,arxiv_id,1.0,4.0,65212632ae2a8dd45c5b7b5717ee532996b4b490,23069502.0,2026-08-14..2026-08-16
BkUp6GZRW,2018,46.0,8.0,s2_api_2026-08-14..2026-08-16,A,arxiv_id,1.0,5.0,3a5f60c2dea325de1dc92ae1eb7a513945bd6af1,22163777.0,2026-08-14..2026-08-16
BkUHlMZ0b,2018,524.0,52.0,s2_api_2026-08-14..2026-08-16,A,arxiv_id,1.0,8.0,72de5578808c87c5bab305e46854fdf0b0b2ddab,27716347.0,2026-08-14..2026-08-16
BkQqq0gRb,2018,812.0,110.0,s2_api_2026-08-14..2026-08-16,A,arxiv_id,1.0,4.0,d475f695dedd94e96771fdaa1e5c075fd01d11cf,13570924.0,2026-08-14..2026-08-16
BkQCGzZ0-,2018,54.0,2.0,s2_api_2026-08-14..2026-08-16,A,arxiv_id,1.0,2.0,1723f1bb6fa033d638d0127e056470a9431246c9,34455434.0,2026-08-14..2026-08-16
BkM3ibZRW,2018,79.0,13.0,s2_api_2026-08-14..2026-08-16,A,arxiv_id,0.6847,4.0,89b139b8b507bdfb8f57b9cc0f09bfcf859bc966,125121895.0,2026-08-14..2026-08-16
BkM27IxR-,2018,137.0,9.0,s2_api_2026-08-14..2026-08-16,A,arxiv_id,1.0,2.0,5b8e5804c3adeb4a4e60f8f7d8d76aab0e02cfbe,3083502.0,2026-08-14..2026-08-16
BkLhaGZRW,2018,19.0,1.0,s2_api_2026-08-14..2026-08-16,A,arxiv_id,1.0,4.0,9f074217d51ffb0da3b9716af4adae56215de488,13669032.0,2026-08-14..2026-08-16
BkJ3ibb0-,2018,1281.0,116.0,s2_api_2026-08-14..2026-08-16,A,arxiv_id,1.0,3.0,f7bb1636ced9036b3d0edafc7d82ad43164d41a3,3458858.0,2026-08-14..2026-08-16
BkIkkseAZ,2018,34.0,2.0,s2_api_2026-08-14..2026-08-16,A,arxiv_id,1.0,2.0,a70644270e099027fe071f78b339803d16582a94,19707156.0,2026-08-14..2026-08-16
BkCV_W-AZ,2018,54.0,7.0,s2_api_2026-08-14..2026-08-16,A,arxiv_id,1.0,3.0,714864bd10680c25275514ff7b6a589f398057aa,7772900.0,2026-08-14..2026-08-16
BkA7gfZAb,2018,3.0,0.0,s2_api_2026-08-14..2026-08-16,A,arxiv_id,1.0,3.0,0b4c987c81511200769097f91f3987f0e1949dbd,24510394.0,2026-08-14..2026-08-16
Bk9zbyZCZ,2018,288.0,8.0,s2_api_2026-08-14..2026-08-16,A,arxiv_id,1.0,2.0,3ee01ec27e4e66e089b72a9989724be611c2ad90,534043.0,2026-08-14..2026-08-16
Bk8ZcAxR-,2018,172.0,13.0,s2_api_2026-08-14..2026-08-16,A,arxiv_id,1.0,6.0,58fb60c5592224901a26dd84220a2f3332c1fcf5,3300406.0,2026-08-14..2026-08-16
Bk7wvW-C-,2018,7.0,0.0,s2_api_2026-08-14..2026-08-16,A,arxiv_id,1.0,5.0,21ff3e0ebe0c170ff9bd970d7b3baca40b18440a,27212081.0,2026-08-14..2026-08-16
Bk346Ok0W,2018,1.0,0.0,s2_api_2026-08-14..2026-08-16,A,arxiv_id,1.0,5.0,911e277f26bccd87807d84128e232fad655eb686,35144072.0,2026-08-14..2026-08-16
BJypUGZ0Z,2018,31.0,0.0,s2_api_2026-08-14..2026-08-16,A,arxiv_id,0.5373,4.0,8cb79a3d446af39b72abb24564b0809d23c43f06,195347823.0,2026-08-14..2026-08-16
BJy0fcgRZ,2018,4.0,0.0,s2_api_2026-08-14..2026-08-16,A,arxiv_id,1.0,5.0,ae84fe11f4ee6e9169ac887cea45c0659b1d18e9,29159323.0,2026-08-14..2026-08-16
BJvWjcgAZ,2018,84.0,7.0,s2_api_2026-08-14..2026-08-16,A,arxiv_id,1.0,3.0,7a4acfe83152ad62bcba11f8963106f860af5a04,44088515.0,2026-08-14..2026-08-16
BJuWrGW0Z,2018,144.0,9.0,s2_api_2026-08-14..2026-08-16,A,arxiv_id,0.9903,3.0,bbe5b2fa5db0d37d772eca7db0e1b1ddfec0f6a5,3532489.0,2026-08-14..2026-08-16
BJluxbWC-,2018,76.0,4.0,s2_api_2026-08-14..2026-08-16,A,arxiv_id,1.0,3.0,5abd89b68813465ee6f6f080afc3cdc4a8bd68c9,3632108.0,2026-08-14..2026-08-16
BJlrSmbAZ,2018,268.0,21.0,s2_api_2026-08-14..2026-08-16,A,arxiv_id,1.0,3.0,fefa90eb68bb3acad0b6a1c680ee88736fa7d1a0,51867681.0,2026-08-14..2026-08-16
BJk7Gf-CZ,2018,128.0,7.0,s2_api_2026-08-14..2026-08-16,A,arxiv_id,1.0,3.0,414915126855cab6a30fdcec635d90e793137c3b,4429876.0,2026-08-14..2026-08-16
BJk59JZ0b,2018,17.0,5.0,s2_api_2026-08-14..2026-08-16,A,arxiv_id,1.0,3.0,27bc1680936e27cfc808923443b39c00fd12959b,88522409.0,2026-08-14..2026-08-16
BJjquybCW,2018,29.0,2.0,s2_api_2026-08-14..2026-08-16,A,arxiv_id,1.0,2.0,2a26977f3f7170422a7b104e20bdfec95d241f6c,85469987.0,2026-08-14..2026-08-16
BJj6qGbRW,2018,1371.0,143.0,s2_api_2026-08-14..2026-08-16,A,arxiv_id,1.0,1.0,572a1f77306e160c3893299c18f3ed862fb5f6d9,3431470.0,2026-08-14..2026-08-16
BJij4yg0Z,2018,310.0,19.0,s2_api_2026-08-14..2026-08-16,A,arxiv_id,1.0,2.0,ae4b0b63ff26e52792be7f60bda3ed5db83c1577,264435719.0,2026-08-14..2026-08-16
BJgVaG-Ab,2018,5.0,0.0,s2_api_2026-08-14..2026-08-16,A,arxiv_id,1.0,3.0,72fcb1dc36032bf449f10571e59072d3b177bc5e,233629.0,2026-08-14..2026-08-16
BJgPCveAW,2018,12.0,1.0,s2_api_2026-08-14..2026-08-16,A,arxiv_id,1.0,4.0,3ef9ff77efe9f2eb028b8ec42711002c431c555c,3542795.0,2026-08-14..2026-08-16
BJehNfW0-,2018,199.0,17.0,s2_api_2026-08-14..2026-08-16,A,arxiv_id,0.7478,2.0,f89e5a8800b318fa03289b5cc67df54b956875b4,23972523.0,2026-08-14..2026-08-16
BJcAWaeCW,2018,26.0,1.0,s2_api_2026-08-14..2026-08-16,A,arxiv_id,0.8831,3.0,aefdd4492157df5e491aabf33e70ddf7e87f307c,24066589.0,2026-08-14..2026-08-16
BJ_wN01C-,2018,312.0,26.0,s2_api_2026-08-14..2026-08-16,A,arxiv_id,1.0,4.0,ccee800244908d2960830967e70ead7dd8266f7a,2835189.0,2026-08-14..2026-08-16
BJ_UL-k0b,2018,553.0,44.0,s2_api_2026-08-14..2026-08-16,A,arxiv_id,1.0,5.0,46b072cf918ec6f50403568a73d4347ea86b7e66,3484654.0,2026-08-14..2026-08-16
BJ_QxP1AZ,2018,4.0,0.0,s2_api_2026-08-14..2026-08-16,A,arxiv_id,1.0,4.0,a5377cfabdd4fcb6cb6225bd89c362e3d147e665,21360767.0,2026-08-14..2026-08-16
BJRZzFlRb,2018,139.0,27.0,s2_api_2026-08-14..2026-08-16,A,arxiv_id,1.0,2.0,4bf6ce4a9366cdba069a45651606538f2febd8e6,3523429.0,2026-08-14..2026-08-16
BJQRKzbA-,2018,955.0,109.0,s2_api_2026-08-14..2026-08-16,A,arxiv_id,1.0,5.0,856451974cce2d353d5d8a5a72104984a252375c,23873820.0,2026-08-14..2026-08-16
BJOFETxR-,2018,925.0,135.0,s2_api_2026-08-14..2026-08-16,A,arxiv_id,1.0,3.0,5f1d429ba574581ac14effe3ebab654a57dc0e39,3495200.0,2026-08-14..2026-08-16
BJNRFNlRW,2018,15.0,2.0,s2_api_2026-08-14..2026-08-16,A,arxiv_id,1.0,3.0,c837f6bb76af151145df50207992ed3848489bdb,3602416.0,2026-08-14..2026-08-16
BJMuY-gRW,2018,91.0,14.0,s2_api_2026-08-14..2026-08-16,A,arxiv_id,1.0,3.0,3096b9e5b17dedbee9554fbd1d6e20f7a095e48a,28631039.0,2026-08-14..2026-08-16
BJJ9bz-0-,2018,211.0,11.0,s2_api_2026-08-14..2026-08-16,A,arxiv_id,1.0,6.0,c37e0d93d19efbd8bb50d1a4d92979793f4341d2,3307812.0,2026-08-14..2026-08-16
BJInEZsTb,2018,92.0,22.0,s2_api_2026-08-14..2026-08-16,A,arxiv_id,0.6815,4.0,30d148d21c20c1682bfbea5ffa41d83c8abdc64c,195347545.0,2026-08-14..2026-08-16
BJIgi_eCZ,2018,187.0,24.0,s2_api_2026-08-14..2026-08-16,A,arxiv_id,1.0,4.0,1fe6bee85774244d8674cbb20a25e8d153cecb17,11480374.0,2026-08-14..2026-08-16
BJGWO9k0Z,2018,3.0,0.0,s2_api_2026-08-14..2026-08-16,A,arxiv_id,1.0,2.0,f05a0fe30d9f9ccf29f74854fdeacbc132dbf23e,88522730.0,2026-08-14..2026-08-16
BJE-4xW0W,2018,315.0,34.0,s2_api_2026-08-14..2026-08-16,A,arxiv_id,1.0,4.0,329f14d68f8e4cbc3ee5109e70c76c6f3b63a19a,7451980.0,2026-08-14..2026-08-16
BJDH5M-AW,2018,95.0,12.0,s2_api_2026-08-14..2026-08-16,A,arxiv_id,1.0,1.0,6d53c25a7296aa1f30f27790d90b3156e74c46c4,260500250.0,2026-08-14..2026-08-16
BJDEbngCZ,2018,722.0,168.0,s2_api_2026-08-14..2026-08-16,A,arxiv_id,0.7595,4.0,9c0b482314dc8c10875b217b86cc5df5a4fe4bdf,51881649.0,2026-08-14..2026-08-16
BJ8vJebC-,2018,819.0,70.0,s2_api_2026-08-14..2026-08-16,A,arxiv_id,1.0,2.0,765bdcf27ebc1eb03a14f1e47aefa4dda1e03073,3513372.0,2026-08-14..2026-08-16
BJ8c3f-0b,2018,166.0,34.0,s2_api_2026-08-14..2026-08-16,A,arxiv_id,1.0,5.0,2d8ea7941e608dab54004eb13f494837dd96d83b,20140417.0,2026-08-14..2026-08-16
BJ78bJZCZ,2018,1.0,0.0,s2_api_2026-08-14..2026-08-16,A,arxiv_id,1.0,2.0,5651adccbfe082058aa61cad4c41ee4aacc7a349,11316437.0,2026-08-14..2026-08-16
BJ6anzb0Z,2018,122.0,5.0,s2_api_2026-08-14..2026-08-16,A,arxiv_id,1.0,2.0,0bc0d5b8f08c3469fcb945a29e3cd7d70f999130,44075392.0,2026-08-14..2026-08-16
BJ0hF1Z0b,2018,128.0,15.0,s2_api_2026-08-14..2026-08-16,A,arxiv_id,0.7344,4.0,636421d05f9eb19ce083af9ed01a8a7be23104a2,195346432.0,2026-08-14..2026-08-16
B1zlp1bRW,2018,282.0,43.0,s2_api_2026-08-14..2026-08-16,A,arxiv_id,1.0,6.0,2140bc28c3bb4982edef1af0753174c7c7aa4b79,88522390.0,2026-08-14..2026-08-16
B1ydPgTpW,2018,22.0,1.0,s2_api_2026-08-14..2026-08-16,A,arxiv_id,1.0,1.0,b9cca39b4eea0facf6296f8ec7e57f8ecf02a5a1,1143276.0,2026-08-14..2026-08-16
B1twdMCab,2018,63.0,4.0,s2_api_2026-08-14..2026-08-16,A,arxiv_id,1.0,2.0,2f92b10acf7c405e55c74c1043dabd9ded1b1800,836118.0,2026-08-14..2026-08-16
B1tExikAW,2018,23.0,1.0,s2_api_2026-08-14..2026-08-16,A,arxiv_id,0.9908,3.0,c7b013e1cb9a676922afbb639af5eeb6a51809b4,22272149.0,2026-08-14..2026-08-16
B1tC-LT6W,2018,9.0,1.0,s2_api_2026-08-14..2026-08-16,A,arxiv_id,1.0,5.0,224e2f3a55be3da285500e739784e88e75853356,33304224.0,2026-08-14..2026-08-16
B1suU-bAW,2018,0.0,0.0,s2_api_2026-08-14..2026-08-16,A,arxiv_id,0.8054,3.0,49e0f5cac813f7c596f57e2480382f16385dcee9,3452423.0,2026-08-14..2026-08-16
B1spAqUp-,2018,49.0,5.0,s2_api_2026-08-14..2026-08-16,A,arxiv_id,1.0,4.0,a84e03b5a7cd00864c8090ae69555d600d044255,12186281.0,2026-08-14..2026-08-16
B1p461b0W,2018,638.0,30.0,s2_api_2026-08-14..2026-08-16,A,arxiv_id,1.0,4.0,96f4d4fc345698b9b44f034c0d63b704772c8386,3511978.0,2026-08-14..2026-08-16
B1nxTzbRZ,2018,27.0,2.0,s2_api_2026-08-14..2026-08-16,A,arxiv_id,1.0,8.0,30b12b0976c8172c0276a9bc23634e4c41a37cae,54083409.0,2026-08-14..2026-08-16
B1nZ1weCZ,2018,21.0,1.0,s2_api_2026-08-14..2026-08-16,A,arxiv_id,0.6966,2.0,b0d9d9efb909bf61ea60afbd79cda33d069aa9bd,2401161.0,2026-08-14..2026-08-16
B1nLkl-0Z,2018,34.0,1.0,s2_api_2026-08-14..2026-08-16,A,arxiv_id,0.496,4.0,7491c03c9b3e798a5243c10f47e7da88570a0297,3745480.0,2026-08-14..2026-08-16
B1n8LexRZ,2018,135.0,21.0,s2_api_2026-08-14..2026-08-16,A,arxiv_id,1.0,3.0,b7c7b4bbda0a90d3e22e8f1207e3d3226e711a84,3698524.0,2026-08-14..2026-08-16
B1mSWUxR-,2018,19.0,5.0,s2_api_2026-08-14..2026-08-16,A,arxiv_id,1.0,5.0,ff7e60b8d336aef5ed974609a63610641085177e,28470390.0,2026-08-14..2026-08-16
B1l8BtlCb,2018,927.0,215.0,s2_api_2026-08-14..2026-08-16,A,arxiv_id,1.0,5.0,15e81c8d1c21f9e928c72721ac46d458f3341454,3480671.0,2026-08-14..2026-08-16
B1jscMbAW,2018,29.0,3.0,s2_api_2026-08-14..2026-08-16,A,arxiv_id,1.0,2.0,5dd3e28170e4e0694e51f24d3859ff97a2314f54,21473141.0,2026-08-14..2026-08-16
B1i7ezW0-,2018,3.0,0.0,s2_api_2026-08-14..2026-08-16,A,arxiv_id,1.0,4.0,9fa4647dc38a406492a6a6c746e1dd3e3fa59070,35667802.0,2026-08-14..2026-08-16
B1hcZZ-AW,2018,182.0,19.0,s2_api_2026-08-14..2026-08-16,A,arxiv_id,1.0,4.0,92d621a603cda8c32214d70953e180fe5a442f3e,13352766.0,2026-08-14..2026-08-16
B1hYRMbCW,2018,221.0,32.0,s2_api_2026-08-14..2026-08-16,A,arxiv_id,1.0,3.0,f64233585c793b56d61f95c1cf25282ad28ceb4b,1758096.0,2026-08-14..2026-08-16
B1gJ1L2aW,2018,855.0,122.0,s2_api_2026-08-14..2026-08-16,A,arxiv_id,1.0,9.0,a18ada04d93981178234d9c8907fb99ea92fddcb,1248661.0,2026-08-14..2026-08-16
B1bgpzZAZ,2018,31.0,4.0,s2_api_2026-08-14..2026-08-16,A,arxiv_id,1.0,4.0,0d7591395989733b13ce51d094d0b3f30904297a,51608071.0,2026-08-14..2026-08-16
B1al7jg0b,2018,14.0,0.0,s2_api_2026-08-14..2026-08-16,A,arxiv_id,0.7581,2.0,e1557dd77472b5704c3ed2314afef93f4d06cd43,21646526.0,2026-08-14..2026-08-16
B1ae1lZRb,2018,354.0,30.0,s2_api_2026-08-14..2026-08-16,A,arxiv_id,1.0,2.0,7b8d67593c4ab1b1e3eccc158daee76703b328aa,3643430.0,2026-08-14..2026-08-16
B1ZvaaeAZ,2018,278.0,32.0,s2_api_2026-08-14..2026-08-16,A,arxiv_id,1.0,4.0,b18b2f8f6e55789b03f983f02f33283c39e6e36a,3455952.0,2026-08-14..2026-08-16
B1ZZTfZAW,2018,990.0,99.0,s2_api_2026-08-14..2026-08-16,A,arxiv_id,1.0,3.0,d01f5f3d1971e7906d58dcc8baf9efb406c47fd2,29681354.0,2026-08-14..2026-08-16
B1Yy1BxCZ,2018,1138.0,66.0,s2_api_2026-08-14..2026-08-16,A,arxiv_id,1.0,3.0,3299aee7a354877e43339d06abb967af2be8b872,3516266.0,2026-08-14..2026-08-16
B1X4DWWRb,2018,92.0,9.0,s2_api_2026-08-14..2026-08-16,A,arxiv_id,1.0,4.0,5efd83cfa8d6c109bff9dea1a3d7f3513a060eae,88516968.0,2026-08-14..2026-08-16
B1X0mzZCW,2018,78.0,7.0,s2_api_2026-08-14..2026-08-16,A,arxiv_id,1.0,4.0,19ff02bf17285335894b0a3af137c4c2fc6fbd4d,3481593.0,2026-08-14..2026-08-16
B1QgVti6Z,2018,25.0,1.0,s2_api_2026-08-14..2026-08-16,A,arxiv_id,0.4425,2.0,69bad7a05f07f886cfd02fcd1258e487c5e3ec14,35936739.0,2026-08-14..2026-08-16
B1QRgziT-,2018,5103.0,649.0,s2_api_2026-08-14..2026-08-16,A,arxiv_id,1.0,4.0,84de7d27e2f6160f634a483e8548c499a2cda7fa,3366315.0,2026-08-14..2026-08-16
B1O3OgbRW,2018,283.0,34.0,s2_api_2026-08-14..2026-08-16,A,arxiv_id,1.0,5.0,c898161e3691625bcef780b78100f70e8bb94154,49670549.0,2026-08-14..2026-08-16
B1NGT8xCZ,2018,5.0,1.0,s2_api_2026-08-14..2026-08-16,A,arxiv_id,1.0,5.0,d9d88013675b6abca13fbfa2ee804082458b0320,22831630.0,2026-08-14..2026-08-16
B1Lc-Gb0Z,2018,20.0,1.0,s2_api_2026-08-14..2026-08-16,A,arxiv_id,1.0,2.0,af43a2517dd0c75d20b4bff5c4989bd946b68d84,3506178.0,2026-08-14..2026-08-16
B1KJJf-R-,2018,59.0,12.0,s2_api_2026-08-14..2026-08-16,A,arxiv_id,0.9125,2.0,13c678c2642c2f4e857ff7d4c9ef6e1a668a77f7,3649599.0,2026-08-14..2026-08-16
B1KFAGWAZ,2018,55.0,5.0,s2_api_2026-08-14..2026-08-16,A,arxiv_id,1.0,4.0,fd1ed642617c362acd072e70cf8c8ea229430b42,26036647.0,2026-08-14..2026-08-16
B1J_rgWRW,2018,742.0,93.0,s2_api_2026-08-14..2026-08-16,A,arxiv_id,1.0,4.0,9375729d21a344a5ccccd5f53556ddf90b957cd9,3482308.0,2026-08-14..2026-08-16
B1IDRdeCW,2018,83.0,4.0,s2_api_2026-08-14..2026-08-16,A,arxiv_id,1.0,2.0,241ceceaff111fcdd91fdbd0538e7ab9b055aee0,3511502.0,2026-08-14..2026-08-16
B1Gi6LeRZ,2018,269.0,45.0,s2_api_2026-08-14..2026-08-16,A,arxiv_id,1.0,3.0,2c5174a4f3f6978cc28e2d3c15feae8610372bcd,3580738.0,2026-08-14..2026-08-16
B1EPYJ-C-,2018,5538.0,277.0,s2_api_2026-08-14..2026-08-16,A,arxiv_id,1.0,4.0,7fcb90f68529cbfab49f471b54719ded7528d0ef,14999259.0,2026-08-14..2026-08-16
B1EA-M-0Z,2018,1259.0,161.0,s2_api_2026-08-14..2026-08-16,A,arxiv_id,1.0,6.0,075556dd42900a6bc4552a2f2531ba21b9b7b4c0,3708505.0,2026-08-14..2026-08-16
B1DmUzWAW,2018,204.0,20.0,s2_api_2026-08-14..2026-08-16,A,arxiv_id,0.3077,4.0,00357a417ce470a78f7a84d18ae2604330455d2a,195345934.0,2026-08-14..2026-08-16
B1D6ty-A-,2018,5.0,0.0,s2_api_2026-08-14..2026-08-16,A,arxiv_id,0.4118,6.0,c69359c179b684814511e2d4511dde0127204bd4,59553522.0,2026-08-14..2026-08-16
B1CQGfZ0b,2018,2.0,0.0,s2_api_2026-08-14..2026-08-16,A,arxiv_id,1.0,4.0,956c52bf738517a8827f63be976e1291750e0ebc,36971819.0,2026-08-14..2026-08-16
B1CNpYg0-,2018,86.0,6.0,s2_api_2026-08-14..2026-08-16,A,arxiv_id,1.0,5.0,970f474fc5408f079f627adbc9a300dfca7e317e,3747642.0,2026-08-14..2026-08-16
B1CEaMbR-,2018,266.0,10.0,s2_api_2026-08-14..2026-08-16,A,arxiv_id,1.0,4.0,48b9d350a0f20fdce7c8edc198fb3b3350600157,8400105.0,2026-08-14..2026-08-16
B18WgG-CZ,2018,340.0,30.0,s2_api_2026-08-14..2026-08-16,A,arxiv_id,1.0,4.0,afc2850945a871e72c245818f9bc141bd659b453,4567927.0,2026-08-14..2026-08-16
B17JTOe0-,2018,260.0,21.0,s2_api_2026-08-14..2026-08-16,A,arxiv_id,1.0,2.0,a538579ac50d659ac0bca9824d6446e741c586b3,3536139.0,2026-08-14..2026-08-16
B14TlG-RW,2018,1135.0,176.0,s2_api_2026-08-14..2026-08-16,A,arxiv_id,1.0,7.0,8c1b00128e74f1cd92aede3959690615695d5101,4842909.0,2026-08-14..2026-08-16
B13njo1R-,2018,60.0,2.0,s2_api_2026-08-14..2026-08-16,A,arxiv_id,1.0,4.0,714bb2c21605cde034334aa9e345a9b19bc44cdf,3619097.0,2026-08-14..2026-08-16
B13EC5u6W,2018,2.0,2.0,s2_api_2026-08-14..2026-08-16,A,arxiv_id,0.4483,3.0,dcd71cad2d8a6d3d20e2adf712300f1d00e7f370,4791962.0,2026-08-14..2026-08-16
B12QlQWRW,2018,2.0,1.0,s2_api_2026-08-14..2026-08-16,A,arxiv_id,1.0,3.0,25497541031b9fad3992e193cf3a30297223012b,44096233.0,2026-08-14..2026-08-16
B12Js_yRb,2018,224.0,27.0,s2_api_2026-08-14..2026-08-16,A,arxiv_id,1.0,2.0,30a3eee5e9302108416f6234d739373dde68d373,3358859.0,2026-08-14..2026-08-16
ryzECoAcY7,2019,83.0,12.0,s2_api_2026-08-14..2026-08-16,A,arxiv_id,0.3611,3.0,ef06f7016db8bcd5c5a53442a4aba1d1911a26dd,3592070.0,2026-08-14..2026-08-16
ryxwJhC9YX,2019,167.0,13.0,s2_api_2026-08-14..2026-08-16,A,arxiv_id,1.0,3.0,af7994e85e6900c0eaf48a5d80fbf5c127f58644,57189269.0,2026-08-14..2026-08-16
ryxnHhRqFm,2019,173.0,43.0,s2_api_2026-08-14..2026-08-16,A,arxiv_id,1.0,3.0,924acc8b76779a5211cc04bbe6cf13bd0bc6e7f8,58006691.0,2026-08-14..2026-08-16
