paper_id,year,decile,citation_pct_rank,gen_chars,ref_chars,rougeL_target,rougeL_decoy_mean,rougeL_decoy_max,rougeL_margin,lcs_target,lcs_decoy_mean,eight_target,eight_decoy_mean,eight_decoy_max,extractable
HygT9oRqFX,2019,3,0.3373,738,1077,0.1894,0.1310,0.1614,0.0584,0.0325,0.0211,0.0000,0.0000,0.0000,0
S14h9sCqYm,2019,3,0.3619,687,896,0.3223,0.1638,0.1905,0.1585,0.0466,0.0335,0.0000,0.0000,0.0000,0
rJxq3kHKPH,2020,2,0.2660,641,659,0.2381,0.1527,0.2044,0.0853,0.0406,0.0284,0.0000,0.0000,0.0000,0
SJCPLLpaW,2018,3,0.3786,529,349,0.1613,0.0964,0.1105,0.0649,0.0265,0.0257,0.0000,0.0000,0.0000,0
SJlh2jR9FX,2019,3,0.3034,719,1273,0.1418,0.1305,0.1494,0.0113,0.0306,0.0197,0.0000,0.0000,0.0000,0
BybQ7zWCb,2018,3,0.3228,876,1232,0.2313,0.1481,0.1647,0.0831,0.0342,0.0160,0.0000,0.0000,0.0000,0
SJzYdsAqY7,2019,3,0.3619,837,1482,0.2648,0.1578,0.1780,0.1070,0.0346,0.0170,0.0000,0.0000,0.0000,0
Hk0wHx-RW,2018,3,0.3499,939,486,0.2463,0.1299,0.1485,0.1164,0.0319,0.0181,0.0000,0.0000,0.0000,0
rJxlc0EtDr,2020,3,0.3910,635,1109,0.1527,0.1443,0.1899,0.0085,0.0283,0.0280,0.0000,0.0000,0.0000,0
r1fWmnR5tm,2019,3,0.3373,796,954,0.1977,0.1179,0.1435,0.0798,0.0327,0.0191,0.0000,0.0000,0.0000,0
rke5R1SFwS,2020,2,0.2147,621,931,0.1841,0.1417,0.1594,0.0424,0.0386,0.0283,0.0000,0.0000,0.0000,0
HJCXZQbAZ,2018,2,0.2260,676,807,0.1421,0.1191,0.1495,0.0230,0.0385,0.0254,0.0000,0.0000,0.0000,0
ByeMB3Act7,2019,3,0.3865,773,1385,0.1777,0.1458,0.1967,0.0319,0.0233,0.0186,0.0000,0.0000,0.0000,0
rJxug2R9Km,2019,3,0.3734,462,844,0.2000,0.1229,0.1429,0.0771,0.0455,0.0234,0.0000,0.0000,0.0000,0
S1HlA-ZAZ,2018,3,0.3608,675,756,0.1675,0.1240,0.1451,0.0435,0.0385,0.0222,0.0000,0.0000,0.0000,0
B1IDRdeCW,2018,3,0.3499,544,1185,0.1955,0.1443,0.1727,0.0512,0.0441,0.0287,0.0000,0.0000,0.0000,0
ryf6Fs09YX,2019,3,0.3127,740,864,0.1957,0.1521,0.2101,0.0436,0.0392,0.0259,0.0000,0.0000,0.0000,0
Hkg1YiAcK7,2019,3,0.3846,531,828,0.3396,0.1822,0.2081,0.1574,0.0678,0.0324,0.0000,0.0000,0.0000,0
r1lFIiR9tQ,2019,2,0.2222,637,638,0.1709,0.1706,0.2035,0.0002,0.0204,0.0317,0.0000,0.0000,0.0000,0
r1l4eQW0Z,2018,2,0.2517,690,636,0.2065,0.1432,0.1636,0.0634,0.0565,0.0241,0.0000,0.0000,0.0000,0
ByxHb3R5tX,2019,3,0.3961,806,923,0.2015,0.1474,0.1769,0.0541,0.0422,0.0228,0.0000,0.0000,0.0000,0
SkOb1Fl0Z,2018,3,0.3113,782,993,0.1660,0.1368,0.1538,0.0292,0.0575,0.0225,0.0000,0.0000,0.0000,0
B1mSWUxR-,2018,3,0.3499,614,1506,0.2288,0.1447,0.1577,0.0841,0.0619,0.0208,0.0000,0.0000,0.0000,0
B1QgVti6Z,2018,3,0.3256,663,1476,0.2059,0.1492,0.1727,0.0566,0.0513,0.0253,0.0000,0.0000,0.0000,0
r1NYjfbR-,2018,2,0.2468,453,589,0.1600,0.1580,0.1786,0.0020,0.0508,0.0336,0.0000,0.0000,0.0000,0
rklQas09tm,2019,3,0.3865,645,978,0.2024,0.1410,0.1712,0.0614,0.0465,0.0211,0.0000,0.0000,0.0000,0
SJQHjzZ0-,2018,3,0.3797,564,569,0.2428,0.1631,0.1857,0.0797,0.0355,0.0330,0.0000,0.0000,0.0000,0
r11Q2SlRW,2018,3,0.3924,631,811,0.1422,0.1414,0.1474,0.0008,0.0460,0.0266,0.0000,0.0000,0.0000,0
HJvvRoe0W,2018,4,0.4051,743,608,0.1837,0.1225,0.1974,0.0612,0.0431,0.0213,0.0000,0.0000,0.0000,0
H1VjBebR-,2018,3,0.3113,676,1162,0.1844,0.1359,0.1868,0.0485,0.0296,0.0210,0.0000,0.0000,0.0000,0
ryxz8CVYDH,2020,3,0.3622,793,914,0.1760,0.1415,0.1588,0.0345,0.0252,0.0280,0.0000,0.0000,0.0000,0
Bk-ofQZRb,2018,3,0.3255,312,729,0.2209,0.1484,0.1899,0.0725,0.0577,0.0436,0.0000,0.0000,0.0000,0
Byxpfh0cFm,2019,3,0.3865,496,786,0.2300,0.1407,0.1631,0.0893,0.0484,0.0319,0.0000,0.0000,0.0000,0
rklr9kHFDB,2020,3,0.3013,957,1025,0.1824,0.1294,0.1575,0.0531,0.0167,0.0169,0.0000,0.0000,0.0000,0
rke3U6NtwH,2020,3,0.3333,833,1070,0.2222,0.1246,0.1364,0.0976,0.0396,0.0178,0.0000,0.0000,0.0000,0
BygANhA9tQ,2019,4,0.4524,645,777,0.2843,0.1318,0.1472,0.1525,0.0589,0.0267,0.0000,0.0000,0.0000,0
rkgBHoCqYX,2019,3,0.3127,452,598,0.1963,0.1392,0.1647,0.0571,0.0597,0.0301,0.0000,0.0000,0.0000,0
SJgsCjCqt7,2019,4,0.4231,457,860,0.1587,0.1459,0.1676,0.0129,0.0547,0.0319,0.0000,0.0000,0.0000,0
SJyfrl-0b,2018,4,0.4382,837,878,0.2053,0.1427,0.1752,0.0626,0.0478,0.0241,0.0000,0.0000,0.0000,0
SyVU6s05K7,2019,4,0.4984,809,1436,0.1701,0.1318,0.1448,0.0382,0.0457,0.0225,0.0000,0.0000,0.0000,0
SyMras0cFQ,2019,4,0.4675,579,1746,0.1703,0.1825,0.2191,-0.0121,0.0570,0.0304,0.0000,0.0000,0.0000,0
SyL9u-WA-,2018,4,0.4150,666,1220,0.2606,0.1398,0.1500,0.1208,0.0526,0.0267,0.0000,0.0000,0.0000,0
rJxqZkSFDB,2020,4,0.4295,792,1091,0.2456,0.1635,0.2447,0.0821,0.0455,0.0328,0.0000,0.0000,0.0000,0
Sklqvo0qt7,2019,4,0.4524,399,575,0.2738,0.1672,0.2095,0.1066,0.0426,0.0281,0.0000,0.0000,0.0000,0
r1RF3ExCb,2018,4,0.4304,609,638,0.2032,0.1490,0.1714,0.0542,0.0443,0.0282,0.0000,0.0000,0.0000,0
rJQDjk-0b,2018,4,0.4724,621,1171,0.1490,0.1287,0.1604,0.0204,0.0612,0.0267,0.0000,0.0000,0.0000,0
rygoURNYvS,2020,4,0.4286,552,1156,0.1866,0.1400,0.1781,0.0466,0.0598,0.0337,0.0000,0.0000,0.0000,0
HkG3e205K7,2019,4,0.4310,617,1380,0.1745,0.1301,0.1399,0.0444,0.0535,0.0298,0.0000,0.0000,0.0000,0
SkAK2jg0b,2018,4,0.4051,636,991,0.1983,0.1417,0.1603,0.0567,0.0409,0.0236,0.0000,0.0000,0.0000,0
r1pW0WZAW,2018,4,0.4382,709,686,0.1589,0.1347,0.1499,0.0242,0.0339,0.0217,0.0000,0.0000,0.0000,0
SJGyFiRqK7,2019,4,0.4310,381,1012,0.1732,0.1342,0.1518,0.0390,0.0394,0.0441,0.0000,0.0000,0.0000,0
rJYFzMZC-,2018,4,0.4890,702,659,0.2199,0.1452,0.1673,0.0747,0.0527,0.0188,0.0000,0.0000,0.0000,0
rkevSgrtPr,2020,4,0.4295,677,1235,0.2317,0.1585,0.1976,0.0732,0.0547,0.0242,0.0000,0.0000,0.0000,0
rJxok1BYPr,2020,4,0.4286,792,1069,0.1544,0.1455,0.1681,0.0089,0.0303,0.0250,0.0000,0.0000,0.0000,0
B1bgpzZAZ,2018,4,0.4521,617,1642,0.2369,0.1677,0.2222,0.0693,0.0519,0.0311,0.0000,0.0000,0.0000,0
SylCrnCcFX,2019,4,0.4984,458,825,0.2165,0.1559,0.2159,0.0605,0.0742,0.0371,0.0000,0.0000,0.0000,0
rJedbn0ctQ,2019,4,0.4512,734,998,0.1484,0.1010,0.1200,0.0475,0.0395,0.0199,0.0000,0.0000,0.0000,0
B1n8LexRZ,2018,4,0.4724,482,558,0.1951,0.1336,0.1648,0.0615,0.0332,0.0295,0.0000,0.0000,0.0000,0
H1dh6Ax0Z,2018,5,0.5330,701,1245,0.1981,0.1478,0.1752,0.0503,0.0342,0.0208,0.0000,0.0000,0.0000,0
r1e13s05YX,2019,4,0.4103,733,1360,0.2073,0.1281,0.1359,0.0793,0.0286,0.0254,0.0000,0.0000,0.0000,0
SywXXwJAb,2018,5,0.5519,935,1232,0.2539,0.1476,0.1638,0.1063,0.0278,0.0184,0.0000,0.0000,0.0000,0
BywyFQlAW,2018,4,0.4625,914,1216,0.1470,0.1389,0.1592,0.0081,0.0153,0.0173,0.0000,0.0000,0.0000,0
H1e572A5tQ,2019,5,0.5877,687,856,0.2087,0.1326,0.1582,0.0761,0.0218,0.0230,0.0000,0.0000,0.0000,0
SyNvti09KQ,2019,4,0.4675,815,576,0.2030,0.1270,0.1495,0.0760,0.0307,0.0275,0.0000,0.0000,0.0000,0
SksY3deAW,2018,5,0.5210,258,663,0.1379,0.1334,0.1636,0.0045,0.0814,0.0605,0.0000,0.0000,0.0000,0
rkfOvGbCW,2018,4,0.4823,693,961,0.2016,0.1347,0.1674,0.0669,0.0491,0.0214,0.0000,0.0000,0.0000,0
BkVf1AeAZ,2018,5,0.5210,495,710,0.1889,0.1312,0.1739,0.0577,0.0586,0.0327,0.0000,0.0000,0.0000,0
HyeFAsRctQ,2019,4,0.4817,499,961,0.1883,0.1256,0.1631,0.0627,0.0501,0.0289,0.0000,0.0000,0.0000,0
rkxNh1Stvr,2020,5,0.5128,646,1150,0.2083,0.1306,0.1606,0.0777,0.0356,0.0266,0.0000,0.0000,0.0000,0
S1x2Fj0qKQ,2019,5,0.5000,705,858,0.2393,0.1413,0.1472,0.0981,0.0482,0.0352,0.0000,0.0000,0.0000,0
SyxZJn05YX,2019,5,0.5600,711,1944,0.1029,0.1257,0.1458,-0.0227,0.0295,0.0256,0.0000,0.0000,0.0000,0
Hki-ZlbA-,2018,5,0.5894,738,950,0.1951,0.1321,0.1844,0.0631,0.0298,0.0211,0.0000,0.0000,0.0000,0
rJgYxn09Fm,2019,5,0.5952,536,1058,0.1441,0.1263,0.1446,0.0179,0.0373,0.0243,0.0000,0.0000,0.0000,0
rJggX0EKwS,2020,5,0.5481,901,1508,0.1684,0.1446,0.1629,0.0238,0.0244,0.0191,0.0000,0.0000,0.0000,0
Sklr9i09KQ,2019,4,0.4310,591,798,0.1982,0.1429,0.1586,0.0553,0.0288,0.0267,0.0000,0.0000,0.0000,0
H1WgVz-AZ,2018,4,0.4890,530,1185,0.1732,0.1301,0.1477,0.0432,0.0604,0.0313,0.0000,0.0000,0.0000,0
rygrBhC5tQ,2019,5,0.5747,657,975,0.1984,0.1594,0.1855,0.0390,0.0304,0.0268,0.0000,0.0000,0.0000,0
r154_g-Rb,2018,5,0.5189,458,1036,0.2061,0.1563,0.1754,0.0498,0.0524,0.0297,0.0000,0.0000,0.0000,0
ry8dvM-R-,2018,5,0.5574,680,1275,0.1775,0.1409,0.1762,0.0365,0.0265,0.0209,0.0000,0.0000,0.0000,0
r1esnoAqt7,2019,5,0.5484,864,713,0.2533,0.1367,0.1608,0.1166,0.0347,0.0197,0.0000,0.0000,0.0000,0
rkg8FJBYDS,2020,5,0.5000,639,1506,0.2201,0.1746,0.2094,0.0455,0.0516,0.0275,0.0000,0.0000,0.0000,0
HJzLdjR9FX,2019,5,0.5651,715,1026,0.2075,0.1403,0.1710,0.0672,0.0392,0.0221,0.0000,0.0000,0.0000,0
BkUDW_lCb,2018,5,0.5205,543,1023,0.2857,0.1609,0.1839,0.1248,0.0571,0.0471,0.0000,0.0000,0.0000,0
r1CE9GWR-,2018,5,0.5740,578,1039,0.2481,0.1680,0.1883,0.0801,0.0519,0.0235,0.0000,0.0000,0.0000,0
BkxWJnC9tX,2019,5,0.5817,756,878,0.2060,0.1382,0.1654,0.0678,0.0317,0.0183,0.0000,0.0000,0.0000,0
ryUlhzWCZ,2018,5,0.5991,662,1029,0.2151,0.1256,0.1618,0.0895,0.0498,0.0366,0.0000,0.0000,0.0000,0
BydLzGb0Z,2018,5,0.5894,601,661,0.1895,0.1336,0.1657,0.0559,0.0266,0.0216,0.0000,0.0000,0.0000,0
rkg-mA4FDr,2020,5,0.5714,552,1347,0.1769,0.1379,0.1712,0.0390,0.0471,0.0254,0.0000,0.0000,0.0000,0
HJgOl3AqY7,2019,5,0.5299,789,1619,0.2353,0.1451,0.1728,0.0902,0.0507,0.0251,0.0000,0.0000,0.0000,0
S1VWjiRcKX,2019,5,0.5584,762,1127,0.1443,0.1620,0.1743,-0.0177,0.0551,0.0228,0.0000,0.0000,0.0000,0
HJnQJXbC-,2018,5,0.5099,688,947,0.1992,0.1328,0.1399,0.0664,0.0422,0.0198,0.0000,0.0000,0.0000,0
HJMCdsC5tX,2019,6,0.6897,797,451,0.1304,0.1391,0.1802,-0.0087,0.0276,0.0206,0.0000,0.0000,0.0000,0
SyrGJYlRZ,2018,6,0.6766,875,1087,0.1706,0.1374,0.1762,0.0332,0.0251,0.0158,0.0000,0.0000,0.0000,0
H1MW72AcK7,2019,6,0.6151,860,1340,0.1931,0.1595,0.2093,0.0336,0.0279,0.0205,0.0000,0.0000,0.0000,0
ryedqa4FwS,2020,6,0.6827,932,867,0.1686,0.1439,0.1735,0.0247,0.0225,0.0144,0.0000,0.0000,0.0000,0
H1rRWl-Cb,2018,5,0.5419,641,835,0.1858,0.1417,0.1714,0.0441,0.0343,0.0209,0.0000,0.0000,0.0000,0
SkF2D7g0b,2018,6,0.6854,710,1108,0.2246,0.1619,0.1797,0.0627,0.0437,0.0186,0.0000,0.0000,0.0000,0
rygixkHKDH,2020,5,0.5929,513,785,0.2123,0.1390,0.1784,0.0733,0.0741,0.0273,0.0000,0.0000,0.0000,0
SygwwGbRW,2018,6,0.6509,596,753,0.2273,0.1543,0.1660,0.0729,0.0319,0.0282,0.0000,0.0000,0.0000,0
H1kG7GZAW,2018,6,0.6266,598,631,0.2000,0.1574,0.2192,0.0426,0.0686,0.0385,0.0000,0.0000,0.0000,0
rklFh34Kwr,2020,6,0.6282,501,1409,0.1474,0.1354,0.1507,0.0120,0.0459,0.0415,0.0000,0.0000,0.0000,0
HyGySsAct7,2019,6,0.6040,738,571,0.1919,0.1471,0.1642,0.0448,0.0352,0.0230,0.0000,0.0000,0.0000,0
ByxGSsR9FQ,2019,6,0.6754,472,692,0.1754,0.1274,0.1429,0.0480,0.0508,0.0335,0.0000,0.0000,0.0000,0
HkfXMz-Ab,2018,6,0.6646,445,980,0.1511,0.1366,0.1545,0.0145,0.0427,0.0319,0.0000,0.0000,0.0000,0
BJk7Gf-CZ,2018,6,0.6479,424,641,0.3314,0.1437,0.2062,0.1877,0.1014,0.0283,0.0000,0.0000,0.0000,0
S1lqMn05Ym,2019,5,0.5584,470,938,0.1944,0.1497,0.1818,0.0448,0.0362,0.0315,0.0000,0.0000,0.0000,0
HJxB5sRcFQ,2019,6,0.6923,587,808,0.1951,0.1760,0.2009,0.0191,0.0528,0.0337,0.0000,0.0000,0.0000,0
B1CNpYg0-,2018,6,0.6849,280,671,0.1911,0.1262,0.1583,0.0649,0.0750,0.0429,0.0000,0.0000,0.0000,0
B1twdMCab,2018,6,0.6575,889,616,0.1727,0.1475,0.1534,0.0252,0.0315,0.0211,0.0000,0.0000,0.0000,0
rJlEojAqFm,2019,6,0.6364,561,968,0.2087,0.1690,0.1773,0.0396,0.0784,0.0267,0.0000,0.0000,0.0000,0
