paper_id,arxiv_id,year,oa_citations,s2_citations,s2_venue,s2_has_pub_doi,s2_matched
Syx6bz-Ab,1709.00103,2018,788,1565,arXiv.org,False,True
SywXXwJAb,1704.01552,2018,36,133,International Conference on Learning Representations,False,True
SysEexbRb,1710.11205,2018,43,55,arXiv.org,False,True
SyrGJYlRZ,1706.03471,2018,63,113,USENIX workshop on Tackling computer systems problems with machine learning techniques,False,True
SyqShMZRb,1802.08786,2018,205,357,International Conference on Learning Representations,False,True
Syjha0gAZ,1711.05246,2018,15,22,Neural Information Processing Systems,False,True
SyhRVm-Rb,1705.06366,2018,151,581,International Conference on Machine Learning,False,True
SygwwGbRW,1803.00653,2018,55,436,International Conference on Learning Representations,False,True
Syg-YfWCW,1711.05851,2018,357,612,International Conference on Learning Representations,False,True
SyZipzbCb,1804.08617,2018,285,541,International Conference on Learning Representations,False,True
SyYe6k-CW,1802.09127,2018,14,393,International Conference on Learning Representations,False,True
SyX0IeWAW,1710.09767,2018,117,381,International Conference on Learning Representations,False,True
SyProzZAW,1705.05502,2018,91,193,International Conference on Learning Representations,False,True
SyL9u-WA-,1803.09327,2018,19,121,International Conference on Machine Learning,False,True
SyJ7ClWCb,1711.00117,2018,438,1630,International Conference on Learning Representations,False,True
SyELrEeAb,1710.10742,2018,17,46,International Conference on Learning Representations,False,True
SyBBgXWAZ,1711.0197,2018,10,,,,False
SyAbZb-0Z,1710.10776,2018,5,5,arXiv.org,False,True
Sy3fJXbA-,1709.09582,2018,25,28,arXiv.org,False,True
Sy2ogebAW,1710.11041,2018,97,815,International Conference on Learning Representations,False,True
Sy21R9JAW,1711.06104,2018,386,149,Neural Information Processing Systems,True,True
Sy1f0e-R-,1806.07755,2018,223,305,arXiv.org,False,True
Sy0GnUxCb,1710.03748,2018,147,435,International Conference on Learning Representations,False,True
Sy-tszZRZ,1711.02114,2018,47,302,International Conference on Machine Learning,False,True
Skx5txzb0W,1807.01961,2018,2,4,International Conference on Machine Learning,False,True
Skw0n-W0Z,1802.09081,2018,127,266,International Conference on Learning Representations,False,True
Skvd-myR-,1709.01353,2018,44,39,Image and Vision Computing,True,True
SktLlGbRZ,1711.03213,2018,630,3282,International Conference on Machine Learning,False,True
SksY3deAW,1706.04964,2018,31,120,International Conference on Machine Learning,False,True
SkqV-XZRZ,1711.05717,2018,8,28,arXiv.org,False,True
Skp1ESxRZ,1706.01284,2018,22,11,arXiv.org,False,True
Skj8Kag0Z,1705.07364,2018,10,92,International Conference on Learning Representations,False,True
SkhQHMW0W,1712.01887,2018,647,1673,International Conference on Learning Representations,False,True
SkYibHlRb,1711.04436,2018,305,506,arXiv.org,False,True
SkYMnLxRW,1711.02132,2018,134,142,arXiv.org,False,True
SkVqXOxCb,1708.08819,2018,29,81,International Conference on Learning Representations,False,True
SkPoRg10b,1710.09553,2018,29,68,arXiv.org,False,True
SkFAWax0-,1707.06588,2018,13,28,arXiv.org,False,True
SkF2D7g0b,1712.09491,2018,70,5,arXiv.org,False,True
Sk9yuql0Z,1711.01991,2018,196,1208,International Conference on Learning Representations,False,True
SJzRZ-WCZ,1710.11379,2018,25,331,International Conference on Learning Representations,False,True
SJzMATlAZ,1803.01449,2018,55,81,arXiv.org,False,True
SJyVzQ-C-,1711.00066,2018,8,54,International Conference on Learning Representations,False,True
SJx9GQb0-,1803.01541,2018,52,281,International Conference on Learning Representations,False,True
SJn0sLgRb,1801.02929,2018,338,468,arXiv.org,False,True
SJmAXkgCb,1808.05285,2018,19,20,ECCV Workshops,True,True
SJlhPMWAW,1802.0348,2018,43,,,,False
SJky6Ry0W,1712.00961,2018,84,205,International Conference on Machine Learning,False,True
SJiHXGWAZ,1707.01926,2018,504,107,arXiv.org,False,True
SJi9WOeRb,1705.07107,2018,35,127,International Conference on Learning Representations,False,True
SJahqJZAW,1705.07831,2018,72,85,arXiv.org,False,True
SJa9iHgAZ,1710.04773,2018,46,181,International Conference on Learning Representations,False,True
SJQO7UJCW,1802.07934,2018,378,616,British Machine Vision Conference,False,True
SJQHjzZ0-,1803.01045,2018,15,73,International Conference on Learning Representations,False,True
SJLy_SxC-,1711.00002,2018,28,36,arXiv.org,False,True
SJJinbWRZ,1802.10592,2018,218,487,International Conference on Learning Representations,False,True
SJJQVZW0b,1712.07294,2018,58,150,International Conference on Learning Representations,False,True
SJIA6ZWC-,1802.09419,2018,87,149,arXiv.org,False,True
SJCq_fZ0Z,1711.02326,2018,9,15,arXiv.org,False,True
SJA7xfb0b,1711.04894,2018,18,119,International Conference on Learning Representations,False,True
SJ1Xmf-Rb,1711.10563,2018,272,522,International Conference on Learning Representations,False,True
SJ19eUg0-,1712.07296,2018,10,25,arXiv.org,False,True
S1vuO-bCW,1711.06782,2018,61,157,International Conference on Learning Representations,False,True
S1v4N2l0-,1803.07728,2018,1540,3608,International Conference on Learning Representations,False,True
S1p31z-Ab,1802.05365,2018,1791,12201,North American Chapter of the Association for Computational Linguistics,True,True
S1nQvfgA-,1705.07904,2018,31,121,International Conference on Learning Representations,False,True
S1m6h21Cb,1705.10743,2018,256,397,arXiv.org,False,True
S1jBcueAb,1706.03059,2018,247,314,International Conference on Learning Representations,False,True
S1fcY-Z0-,1710.04759,2018,16,157,arXiv.org,False,True
S1cZsf-RW,1803.01328,2018,51,130,International Conference on Learning Representations,False,True
S1WRibb0Z,1711.00811,2018,9,119,International Conference on Learning Representations,False,True
S1J2ZyZ0Z,1712.08697,2018,33,75,International Conference on Learning Representations,False,True
S1HlA-ZAZ,1804.01756,2018,13,41,International Conference on Learning Representations,False,True
S1GUgxgCW,1809.0707,2018,4,,,,False
S1EwLkW0W,1705.07774,2018,78,229,International Conference on Machine Learning,False,True
S1Euwz-Rb,1803.03067,2018,132,623,International Conference on Learning Representations,False,True
S1Dh8Tg0-,1801.0454,2018,12,,,,False
S1DWPP1A-,1803.00781,2018,49,102,International Conference on Learning Representations,False,True
S1ANxQW0b,1806.0692,2018,167,,,,False
S14EogZAZ,1711.00267,2018,3,8,arXiv.org,False,True
HyzbhfWRW,1804.02391,2018,124,474,International Conference on Learning Representations,False,True
HyyP33gAZ,1703.02,2018,47,,,,False
HytSvlWRZ,1802.06516,2018,0,11,Knowledge Discovery and Data Mining,True,True
HyrCWeWCb,1707.01891,2018,31,115,International Conference on Learning Representations,False,True
HypkN9yRW,1803.11361,2018,26,33,arXiv.org,False,True
HymYLebCb,1804.06275,2018,5,8,arXiv.org,False,True
HyjC5yWCW,1710.11622,2018,96,235,International Conference on Learning Representations,False,True
HyfHgI6aW,1709.05706,2018,38,80,International Conference on Learning Representations,False,True
HyXNCZbCZ,1802.01071,2018,20,29,arXiv.org,False,True
HyXBcYg0b,1711.07553,2018,249,623,arXiv.org,False,True
HyWrIgW0W,1710.11029,2018,36,339,Information Theory and Applications Workshop,True,True
HyUNwulC-,1709.04057,2018,15,173,International Conference on Learning Representations,False,True
HyRnez-RW,1711.00894,2018,3,35,International Conference on Learning Representations,False,True
HyRVBzap-,1708.02582,2018,63,106,International Conference on Learning Representations,False,True
HyEi7bWR-,1707.0952,2018,15,,,,False
Hy7EPh10W,1802.1056,2018,35,,,,False
HkxF5RgC-,1804.10223,2018,1,30,International Conference on Learning Representations,False,True
HkwVAXyCW,1708.06834,2018,38,236,International Conference on Learning Representations,False,True
HkuGJ3kCb,1702.01417,2018,134,403,International Conference on Learning Representations,False,True
HktJec1RZ,1706.05565,2018,24,3,,False,True
Hksj2WWAW,1801.04342,2018,9,5,arXiv.org,False,True
HkpRBFxRb,1705.07445,2018,1,6,,False,True
HknbyQbC-,1801.0261,2018,793,,,,False
HkepKG-Rb,1711.11157,2018,70,549,International Conference on Machine Learning,False,True
HkUR_y-RZ,1706.04499,2018,13,51,International Conference on Learning Representations,False,True
HkTEFfZRb,1711.00449,2018,23,113,International Conference on Learning Representations,False,True
HkNGsseC-,1703.02065,2018,23,10,arXiv.org,False,True
HkMvEOlAb,1802.03063,2018,18,32,International Conference on Learning Representations,False,True
HkGcX--0-,1711.11479,2018,3,20,ECML/PKDD,True,True
Hk9Xc_lR-,1711.02771,2018,34,110,International Conference on Learning Representations,False,True
Hk99zCeAb,1710.10196,2018,1559,8646,International Conference on Learning Representations,False,True
Hk6WhagRW,1804.0398,2018,47,,,,False
Hk2MHt-3-,1709.06053,2018,24,37,International Conference on Content-Based Multimedia Indexing,True,True
Hk0wHx-RW,1804.06216,2018,14,33,International Conference on Learning Representations,False,True
HJtEm4p6Z,1710.07654,2018,103,322,International Conference on Learning Representations,False,True
HJnQJXbC-,1705.09786,2018,29,37,arXiv.org,False,True
HJcjQTJ0W,1709.06161,2018,28,18,arXiv.org,False,True
HJcSzz-CZ,1803.00676,2018,728,1443,International Conference on Learning Representations,False,True
HJaDJZ-0W,1711.02782,2018,97,147,arXiv.org,False,True
HJ_aoCyRZ,1801.01587,2018,118,330,International Conference on Learning Representations,False,True
HJZiRkZC-,1802.01817,2018,1,3,arXiv.org,False,True
HJWGdbbCW,1802.09564,2018,217,347,Robotics: Science and Systems Conference,True,True
HJUOHGWRb,1705.10301,2018,38,89,Journal of machine learning research,False,True
HJSA_e1AW,1709.04546,2018,20,31,arXiv.org,False,True
HJRV1ZZAW,1711.04352,2018,17,16,arXiv.org,False,True
HJOQ7MgAW,1805.03716,2018,14,35,Annual Meeting of the Association for Computational Linguistics,True,True
HJIoJWZCZ,1711.01575,2018,50,296,International Conference on Learning Representations,False,True
HJDV5YxCW,1805.10368,2018,21,29,Neural Information Processing Systems,False,True
HJCXZQbAZ,1804.09843,2018,4,48,International Conference on Learning Representations,False,True
HJC2SzZCW,1802.0876,2018,225,,,,False
HJ94fqApW,1802.00124,2018,153,432,International Conference on Learning Representations,False,True
HJ4IhxZAb,1806.04798,2018,57,97,arXiv.org,False,True
H1wt9x-RW,1711.00694,2018,11,14,arXiv.org,False,True
H1vEXaxA-,1710.06922,2018,40,69,International Conference on Learning Representations,False,True
H1uR4GZRZ,1803.01442,2018,207,581,International Conference on Learning Representations,False,True
H1uP7ebAW,1710.10501,2018,195,372,arXiv.org,False,True
H1sUHgb0Z,1712.04577,2018,86,170,International Conference on Learning Representations,False,True
H1kG7GZAW,1711.00848,2018,50,601,International Conference on Learning Representations,False,True
H1dh6Ax0Z,1710.11417,2018,28,72,International Conference on Learning Representations,False,True
H1cKvl-Rb,1706.01502,2018,79,5,arXiv.org,False,True
H1bhRHeA-,1803.08577,2018,8,14,arXiv.org,False,True
H1bM1fZCW,1711.02257,2018,455,1939,International Conference on Machine Learning,False,True
H1Yp-j1Cb,1706.03269,2018,15,92,International Conference on Learning Representations,False,True
H1Xw62kRZ,1805.04276,2018,49,231,International Conference on Learning Representations,False,True
H1VjBebR-,1709.00074,2018,11,26,International Conference on Learning Representations,False,True
H1U_af-0-,1802.03832,2018,19,57,Neural Information Processing Systems,False,True
H1UOm4gA-,1802.01433,2018,31,80,International Conference on Learning Representations,False,True
H1T2hmZAb,1705.09792,2018,169,1044,International Conference on Learning Representations,False,True
H1DJFybC-,1707.09627,2018,103,252,Neural Information Processing Systems,False,True
H1BLjgZCb,1710.11342,2018,368,659,International Conference on Learning Representations,False,True
H196sainb,1710.04087,2018,648,1796,International Conference on Learning Representations,False,True
H18uzzWAZ,1711.00882,2018,3,11,PeerJ,True,True
H15odZ-C-,1710.11381,2018,3,18,International Conference on Learning Representations,False,True
H135uzZ0-,1802.0093,2018,115,,,,False
H113pWZRb,1710.1037,2018,233,,,,False
H1-nGgWC-,1804.11271,2018,91,619,International Conference on Learning Representations,False,True
ByrZyglCb,1705.09554,2018,45,122,arXiv.org,False,True
ByqFhGZCW,1711.04368,2018,4,7,,False,True
ByeqORgAW,1706.04638,2018,9,32,International Conference on Learning Representations,False,True
BydjJte0-,1711.01768,2018,269,3,International Conference on Learning Representations,False,True
BySRH6CpW,1710.07739,2018,11,92,International Conference on Learning Representations,False,True
ByS1VpgRZ,1802.05637,2018,414,826,International Conference on Learning Representations,False,True
ByQpn1ZA-,1710.08446,2018,102,217,International Conference on Learning Representations,False,True
ByOnmlWC-,1711.01012,2018,11,19,International Conference on Learning Representations,False,True
ByJWeR1AW,1806.03852,2018,81,166,arXiv.org,False,True
ByJHuTgA-,1707.05589,2018,48,556,International Conference on Learning Representations,False,True
ByBAl2eAZ,1706.01905,2018,368,687,International Conference on Learning Representations,False,True
By9iRkWA-,1710.10504,2018,18,22,arXiv.org,False,True
By5ugjyCb,1805.06085,2018,720,1124,arXiv.org,False,True
BkrsAzWAb,1703.04782,2018,77,283,International Conference on Learning Representations,False,True
BkrSv0lA-,1802.08635,2018,58,136,International Conference on Learning Representations,False,True
Bkl1uWb0Z,1805.1085,2018,17,,,,False
BkabRiQpb,1710.06975,2018,21,66,AAAI Workshops,False,True
BkXmYfbAZ,1711.00108,2018,20,98,International Conference on Learning Representations,False,True
BkVsWbbAW,1710.10368,2018,126,162,arXiv.org,False,True
BkUp6GZRW,1712.10282,2018,7,46,International Conference on Learning Representations,False,True
BkQqq0gRb,1710.10628,2018,296,810,International Conference on Learning Representations,True,True
BkQCGzZ0-,1801.09797,2018,35,54,arXiv.org,False,True
BkM27IxR-,1703.00441,2018,84,136,arXiv.org,False,True
BkLhaGZRW,1805.03644,2018,9,19,International Conference on Learning Representations,False,True
BkJ3ibb0-,1805.06605,2018,285,1275,International Conference on Learning Representations,False,True
Bk6qQGWRb,1802.04412,2018,24,180,Information Theory and Applications Workshop,True,True
BJvWjcgAZ,1805.12375,2018,19,83,Neural Information Processing Systems,False,True
BJuWrGW0Z,1711.07163,2018,35,143,International Conference on Learning Representations,False,True
BJluxbWC-,1801.05609,2018,57,76,arXiv.org,False,True
BJlrSmbAZ,1802.06455,2018,105,267,International Conference on Machine Learning,False,True
BJk7Gf-CZ,1707.02444,2018,56,128,International Conference on Learning Representations,False,True
BJk59JZ0b,1705.07606,2018,1,17,International Conference on Learning Representations,False,True
BJij4yg0Z,1710.06451,2018,24,308,International Conference on Learning Representations,False,True
BJ_wN01C-,1711.05136,2018,134,311,International Conference on Learning Representations,False,True
BJ_UL-k0b,1801.0893,2018,167,,,,False
BJQRKzbA-,1711.00436,2018,227,954,International Conference on Learning Representations,False,True
BJNRFNlRW,1802.01765,2018,8,15,International Conference on Learning Representations,False,True
BJMuY-gRW,1705.09189,2018,84,91,Natural Language Engineering,True,True
BJGWO9k0Z,1802.02154,2018,1,3,International Conference on Learning Representations,False,True
BJDH5M-AW,1707.07397,2018,685,94,,False,True
BJ8c3f-0b,1705.10306,2018,54,166,International Conference on Learning Representations,False,True
BJ6anzb0Z,1805.10205,2018,93,121,Knowledge Discovery and Data Mining,True,True
B1ydPgTpW,1701.08711,2018,24,22,Expert systems with applications,True,True
B1twdMCab,1706.02596,2018,63,62,,False,True
B1tC-LT6W,1710.09026,2018,6,9,arXiv.org,False,True
B1spAqUp-,1705.0682,2018,31,,,,False
B1p461b0W,1705.10694,2018,410,637,arXiv.org,False,True
B1nxTzbRZ,1812.00054,2018,16,27,Neural Information Processing Systems,False,True
B1nZ1weCZ,1702.06053,2018,10,21,International Conference on Learning Representations,False,True
B1mSWUxR-,1705.07136,2018,14,19,arXiv.org,False,True
B1l8BtlCb,1711.02281,2018,449,924,International Conference on Learning Representations,False,True
B1hcZZ-AW,1709.0603,2018,116,,,,False
B1hYRMbCW,1709.08894,2018,129,221,International Conference on Learning Representations,False,True
B1bgpzZAZ,1904.02651,2018,24,31,International Joint Conference on Artificial Intelligence,True,True
B1ZvaaeAZ,1709.01134,2018,183,278,International Conference on Learning Representations,False,True
B1ZZTfZAW,1706.02633,2018,269,980,arXiv.org,False,True
B1Yy1BxCZ,1711.00489,2018,394,1134,International Conference on Learning Representations,False,True
B1X4DWWRb,1802.08598,2018,38,92,,False,True
B1X0mzZCW,1711.02799,2018,7,78,International Conference on Learning Representations,False,True
B1NGT8xCZ,1705.09011,2018,3,5,arXiv.org,False,True
B1KFAGWAZ,1712.07305,2018,46,54,arXiv.org,False,True
B1IDRdeCW,1705.07199,2018,14,82,International Conference on Learning Representations,False,True
B1EA-M-0Z,1711.00165,2018,338,1255,International Conference on Learning Representations,False,True
B1DmUzWAW,1707.03141,2018,760,204,arXiv.org,False,True
B1CNpYg0-,1706.00286,2018,68,86,arXiv.org,False,True
B18WgG-CZ,1804.00079,2018,101,339,International Conference on Learning Representations,False,True
B14TlG-RW,1804.09541,2018,417,1133,International Conference on Learning Representations,False,True
B13njo1R-,1802.04765,2018,22,60,International Conference on Learning Representations,False,True
B12Js_yRb,1802.05766,2018,156,223,International Conference on Learning Representations,False,True
ryxnHhRqFm,1901.04713,2019,34,173,International Conference on Learning Representations,False,True
ryxhB3CcK7,1902.07864,2019,32,94,International Conference on Machine Learning,False,True
ryxepo0cFX,1902.09689,2019,87,235,International Conference on Learning Representations,False,True
ryxY73AcK7,1811.05381,2019,31,384,International Conference on Machine Learning,False,True
ryxSrhC9KX,1901.02915,2019,25,44,International Conference on Learning Representations,False,True
rylqooRqK7,1812.09926,2019,285,1012,International Conference on Learning Representations,False,True
rylNH20qFQ,1901.02875,2019,50,162,International Conference on Learning Representations,False,True
ryl8-3AcFX,1907.1174,2019,33,,,,False
rygqqsA9KX,1806.06176,2019,197,549,International Conference on Learning Representations,False,True
rygnfn0qF7,1901.09128,2019,18,26,arXiv.org,False,True
rygkk305YQ,1810.07217,2019,45,295,International Conference on Learning Representations,False,True
rygjcsR9Y7,1806.02199,2019,61,156,International Conference on Learning Representations,False,True
rygjN3C9F7,1810.11677,2019,5,7,IEEE International Joint Conference on Neural Network,True,True
ryggIs0cYQ,1806.10779,2019,146,193,International Conference on Learning Representations,False,True
rygZJ2RcF7,1805.12198,2019,5,7,,False,True
ryfz73C9KQ,1811.06407,2019,47,82,arXiv.org,False,True
ryfMLoCqtQ,1809.10374,2019,38,152,International Conference on Learning Representations,False,True
ryf7ioRqFX,1810.03023,2019,12,38,International Conference on Learning Representations,False,True
ryf6Fs09YX,1901.0602,2019,7,,,,False
ryewE3R5YX,1907.0947,2019,52,,,,False
ryetZ20ctX,1904.08444,2019,35,222,International Conference on Learning Representations,False,True
ryepUj0qtX,1805.07544,2019,12,46,BNAIC/BENELEARN,False,True
ryeh4jA9F7,1809.07802,2019,15,26,arXiv.org,False,True
ryeYHi0ctQ,1905.00538,2019,84,258,International Conference on Learning Representations,False,True
ryeOSnAqYm,1912.12345,2019,16,45,International Conference on Learning Representations,False,True
ryeNPi0qKX,1809.1004,2019,41,,,,False
rye7knCqK7,1812.09755,2019,44,316,International Conference on Learning Representations,False,True
rye4g3AqFm,1805.08522,2019,87,292,International Conference on Learning Representations,False,True
ryMQ5sRqYX,1811.02002,2019,17,109,International Conference on Machine Learning,False,True
ryGgSsAcFQ,1810.00393,2019,6,78,International Conference on Learning Representations,False,True
ryEkcsActX,1808.01405,2019,3,29,IEEE International Conference on Computer Vision,True,True
ryE98iR5tm,1901.04866,2019,46,161,International Conference on Learning Representations,False,True
rkzjUoAcFX,1809.1046,2019,75,,,,False
rkzDIiA5YQ,2006.05752,2019,25,48,International Conference on Learning Representations,False,True
rkxw-hAcFQ,1803.07612,2019,37,103,International Conference on Learning Representations,False,True
rkxusjRctQ,1807.03149,2019,17,30,arXiv.org,False,True
rkxt8oC9FQ,1810.00656,2019,56,122,arXiv.org,False,True
rkxraoRcF7,1901.08534,2019,19,27,International Conference on Learning Representations,False,True
rkxoNnC5FQ,1810.03756,2019,27,110,International Conference on Learning Representations,False,True
rkxn7nR5KX,1810.07218,2019,30,188,Neural Information Processing Systems,False,True
rkxjnjA5KQ,1806.07377,2019,40,127,International Conference on Machine Learning,False,True
rkxciiC9tm,1812.09028,2019,2,9,International Conference on Learning Representations,False,True
rkxacs0qY7,1903.05779,2019,116,274,International Conference on Learning Representations,False,True
rkxaNjA9Ym,1812.11732,2019,9,47,International Conference on Learning Representations,False,True
rkxQ-nA9FX,1812.03981,2019,42,146,International Conference on Learning Representations,False,True
rkx1m2C5YQ,1905.07357,2019,30,129,International Conference on Machine Learning,False,True
rklz9iAcKQ,1809.10341,2019,332,3038,International Conference on Learning Representations,False,True
rklaWn0qK7,1906.012,2019,56,,,,False
rklXaoAcFX,1805.08308,2019,97,163,arXiv.org,False,True
rkgwuiA9F7,1805.09235,2019,17,34,Journal of machine learning research,False,True
rkgsvoA9K7,1901.02739,2019,13,123,Pattern Recognition,True,True
rkgoyn09KQ,1810.03947,2019,2,21,International Conference on Learning Representations,False,True
rkgbwsAcYm,1901.09229,2019,88,181,International Conference on Learning Representations,False,True
rkgW0oA9FX,1810.05749,2019,115,305,International Conference on Learning Representations,False,True
rkgT3jRct7,1902.08355,2019,7,18,International Conference on Learning Representations,False,True
rkgKBhA5Y7,1806.05594,2019,149,262,International Conference on Learning Representations,False,True
rkgK3oC5Fm,1810.00746,2019,23,47,International Conference on Learning Representations,False,True
rkevMnRqYQ,1902.04198,2019,15,56,International Conference on Learning Representations,False,True
rkemqsC9Fm,1904.06395,2019,3,10,International Conference on Learning Representations,False,True
rkeYUsRqKQ,1905.01992,2019,2,20,Proceedings of the Workshop on Methods for Optimizing and Evaluating Neural Language Generation,True,True
rkeT8iR9Y7,1810.0015,2019,5,,,,False
rkeMHjR9Ym,1809.03019,2019,4,47,Annual Conference Computational Learning Theory,False,True
rke4HiAcY7,1808.07593,2019,18,94,International Conference on Learning Representations,False,True
rkMhusC5Y7,1809.10658,2019,8,11,arXiv.org,False,True
rkMW1hRqKX,1810.01398,2019,5,45,International Conference on Learning Representations,False,True
rk4Qso0cKm,1810.01279,2019,89,187,International Conference on Learning Representations,False,True
rJxug2R9Km,1901.08159,2019,10,15,arXiv.org,False,True
rJxgknCcK7,1810.01367,2019,137,1079,International Conference on Learning Representations,False,True
rJxMM2C5K7,1904.01197,2019,5,20,arXiv.org,False,True
rJxHsjRqFQ,1805.09786,2019,47,275,International Conference on Learning Representations,False,True
rJlnB3C5Ym,1810.0527,2019,744,,,,False
rJliMh09F7,1901.09024,2019,126,223,International Conference on Learning Representations,False,True
rJlHIo09KQ,1808.08833,2019,6,15,Asian Conference on Machine Learning,False,True
