paper_id,team_size,first_author_h_index,max_h_index,mean_h_index,top_institution_flag,industry_flag,us_team_flag
B1eX_a4twH,4,1.0,32.0,11.25,0,0,0
B1eXbn05t7,2,8.0,52.0,30.0,0,0,0
B1eXygBFPH,5,31.0,70.0,45.6,0,0,1
B1eY_pVYvB,4,11.0,81.0,39.25,1,0,0
B1eYlgBYPH,3,10.0,24.0,12.0,0,0,0
B1eZweHFwr,3,54.0,54.0,38.0,0,0,1
B1ecVlrtDr,3,7.0,119.0,46.0,0,0,1
B1edvs05Y7,4,11.0,111.0,46.5,0,0,0
B1eiJyrtDB,2,8.0,11.0,9.5,0,0,0
B1eibJrtwr,2,6.0,33.0,19.5,1,0,1
B1elCp4KwH,3,20.0,66.0,39.333333333333336,1,1,1
B1em8TVtPr,4,8.0,21.0,9.5,0,0,1
B1em9h4KDS,5,9.0,62.0,18.6,1,1,1
B1eoyAVFwH,5,13.0,49.0,27.2,0,0,0
B1erJJrYPH,6,2.0,54.0,26.666666666666668,0,0,1
B1esx6EYvr,3,19.0,92.0,48.0,1,0,0
B1ethsR9Ym,4,4.0,53.0,16.25,0,0,1
B1euhoAcKX,3,11.0,36.0,17.666666666666668,0,0,1
B1evfa4tPB,2,3.0,33.0,18.0,0,0,0
B1exrnCcF7,5,18.0,47.0,24.8,1,0,1
B1eyA3VFwS,4,9.0,36.0,23.333333333333332,0,0,0
B1eyO1BFPr,4,15.0,45.0,23.75,0,0,1
B1fA3oActQ,5,25.0,85.0,42.6,0,0,1
B1fbosCcYm,3,4.0,34.0,22.0,0,0,0
B1ffQnRcKX,4,11.0,112.0,62.75,1,0,1
B1fpDsAqt7,3,64.0,81.0,55.0,1,1,0
B1fysiAqK7,2,6.0,86.0,46.0,0,0,0
B1g29oAqtm,2,8.0,76.0,42.0,1,1,1
B1g30j0qF7,9,19.0,50.0,20.555555555555557,1,1,1
B1g8VkHFPH,7,70.0,70.0,29.857142857142858,1,1,1
B1gF56VYPH,2,7.0,38.0,22.5,0,0,0
B1gJ1L2aW,9,32.0,119.0,39.55555555555556,1,0,1
B1gJOoRcYQ,5,50.0,50.0,33.6,1,1,1
B1gTShAct7,7,15.0,53.0,26.571428571428573,0,0,1
B1gX8kBtPr,3,6.0,54.0,22.333333333333332,0,0,0
B1gXWCVtvr,7,41.0,41.0,21.0,1,1,1
B1gXYR4YDH,5,19.0,45.0,22.8,0,0,0
B1gZV1HYvS,7,12.0,78.0,32.42857142857143,1,1,0
B1gabhRcYX,2,12.0,59.0,35.5,0,0,0
B1gcblSKwB,4,2.0,56.0,26.0,0,0,0
B1gdkxHFDH,3,13.0,17.0,12.333333333333334,0,0,0
B1ggosR9Ym,7,15.0,97.0,27.857142857142858,0,0,1
B1gi0TEFDB,4,23.0,53.0,36.0,1,1,0
B1gjs6EtDr,4,15.0,35.0,20.75,1,1,1
B1gqipNYwH,2,4.0,40.0,22.0,1,1,1
B1grSREtDH,4,10.0,64.0,24.25,1,0,1
B1gskyStwr,3,6.0,11.0,8.666666666666666,1,0,0
B1gstsCqt7,2,24.0,44.0,34.0,0,0,0
B1guLAVFDB,3,10.0,46.0,25.333333333333332,1,1,1
B1gzLaNYvr,4,13.0,56.0,29.75,0,0,0
B1hYRMbCW,3,6.0,32.0,13.0,0,0,0
B1hcZZ-AW,4,2.0,62.0,23.0,0,0,0
B1kIr-WRb,3,1.0,25.0,16.0,0,0,1
B1l08oAct7,6,16.0,49.0,30.0,1,1,0
B1l1qnEFwH,3,28.0,37.0,28.0,0,0,1
B1l2bp4YwS,1,21.0,21.0,21.0,0,0,1
B1l4SgHKDH,5,21.0,43.0,26.75,1,0,1
B1l5m6VFwr,6,6.0,44.0,20.0,0,0,0
B1l6qiR5F7,4,19.0,78.0,36.0,1,1,0
B1l6y0VFPr,5,44.0,82.0,56.4,1,0,1
B1l8BtlCb,5,47.0,78.0,53.4,0,0,1
B1l8L6EtDS,5,20.0,83.0,47.6,0,0,1
B1l8iiA9tQ,2,11.0,151.0,81.0,0,0,0
B1lCn64tvS,4,11.0,52.0,29.5,1,0,0
B1lDoJSYDH,4,12.0,92.0,43.5,0,0,0
B1lFa3EFwB,3,16.0,47.0,23.333333333333332,0,0,0
B1lG42C9Km,8,26.0,59.0,30.25,1,1,1
B1lGU64tDr,5,25.0,48.0,28.0,0,0,0
B1lJzyStvS,5,10.0,92.0,40.8,1,0,1
B1lKS2AqtX,6,17.0,137.0,52.666666666666664,1,0,1
B1lOraEFPB,2,0.0,12.0,6.0,0,0,0
B1lPETVFPS,6,5.0,49.0,23.833333333333332,1,0,1
B1lTqgSFDH,4,0.0,37.0,12.0,1,0,1
B1lXfA4Ywr,4,5.0,50.0,27.75,1,1,1
B1lda1HtvB,4,8.0,73.0,28.75,0,0,1
B1ldb6NKDr,5,20.0,32.0,20.2,0,0,1
B1lfHhR9tm,4,20.0,78.0,47.75,0,0,1
B1liraVYwr,6,15.0,32.0,21.5,0,0,0
B1lj20NFDS,4,7.0,72.0,33.0,0,0,1
B1lnbRNtwr,4,21.0,50.0,37.0,1,1,1
B1lnzn0ctQ,4,7.0,144.0,60.75,0,0,1
B1lqDertwr,4,10.0,139.0,50.5,0,0,0
B1lsXREYvr,3,33.0,33.0,22.0,1,0,1
B1ltfgSYwS,4,10.0,58.0,22.0,0,0,0
B1lwSsC5KX,4,14.0,113.0,55.5,1,1,1
B1lxH20qtX,5,30.0,139.0,69.2,1,0,1
B1lz-3Rct7,4,15.0,34.0,16.75,0,0,1
B1mSWUxR-,5,26.0,96.0,46.6,1,0,1
B1mvVm-C-,3,15.0,27.0,16.0,1,0,1
B1n8LexRZ,3,32.0,50.0,38.333333333333336,1,0,1
B1nLkl-0Z,4,30.0,51.0,40.5,1,1,1
B1nZ1weCZ,4,10.0,37.0,13.75,0,0,0
B1nxTzbRZ,8,35.0,35.0,16.5,0,0,1
B1p461b0W,4,21.0,102.0,51.0,1,1,1
B1spAqUp-,4,22.0,57.0,26.25,1,0,1
B1tC-LT6W,5,6.0,23.0,13.0,0,0,0
B1twdMCab,3,18.0,69.0,35.333333333333336,1,1,1
B1uvH_gC-,3,5.0,72.0,36.0,0,0,1
B1x-LjAcKX,2,5.0,5.0,3.0,0,0,0
B1x1MerYPB,7,41.0,69.0,25.285714285714285,1,1,0
B1x1ma4tDr,4,29.0,64.0,35.0,0,0,0
B1x2eCNFvH,4,15.0,37.0,14.25,0,0,0
B1x33sC9KQ,4,18.0,37.0,19.5,1,1,0
B1x3EgHtwB,3,5.0,60.0,34.666666666666664,0,0,0
B1x5KiCcFX,2,11.0,44.0,27.5,0,0,0
B1x62TNtDS,2,32.0,65.0,48.5,1,0,1
B1x6BTEKwr,3,20.0,155.0,62.666666666666664,0,0,0
B1x6w0EtwH,2,18.0,24.0,21.0,0,0,1
B1x8anVFPr,10,5.0,76.0,25.1,1,0,1
B1x996EKPS,3,11.0,62.0,27.333333333333332,1,1,0
B1x9ITVYDr,2,3.0,9.0,6.0,0,0,1
B1x9siCcYQ,7,15.0,46.0,20.428571428571427,0,0,1
B1xDq2EFDH,4,5.0,67.0,25.5,0,0,0
B1xFVhActm,4,8.0,30.0,22.5,0,0,1
B1xFxh0cKX,5,21.0,50.0,26.0,0,0,1
B1xGGTEtDH,2,12.0,40.0,26.0,0,0,0
B1xGxgSYvH,5,3.0,6.0,4.0,0,0,0
B1xIj3VYvr,3,7.0,66.0,32.0,0,0,0
B1xMEerYvB,8,25.0,51.0,28.571428571428573,1,1,1
B1xOYoA5tQ,4,23.0,70.0,40.25,0,0,1
B1xSperKvH,4,17.0,102.0,45.0,0,0,1
B1xVTjCqKQ,3,5.0,99.0,40.666666666666664,0,0,1
B1xWcj0qYm,4,23.0,73.0,49.75,0,0,0
B1xY-hRctX,6,6.0,43.0,21.666666666666668,1,1,1
B1xZD1rtPr,3,9.0,53.0,23.333333333333332,1,0,1
B1xcLJrYwH,3,0.0,53.0,22.666666666666668,0,0,0
B1xewR4KvH,5,3.0,48.0,14.2,1,0,1
B1xeyhCctQ,3,15.0,51.0,34.0,1,0,1
B1xf9jAqFQ,5,23.0,24.0,22.0,0,0,0
B1xfElrKPr,6,10.0,91.0,47.833333333333336,1,1,1
B1xgQkrYwS,2,54.0,54.0,31.5,0,0,0
B1xhQhRcK7,10,22.0,101.0,34.333333333333336,1,1,1
B1xhpa4FvS,4,7.0,30.0,13.75,0,0,0
B1xm3RVtwB,2,12.0,30.0,21.0,0,0,0
B1xmOgrFPS,3,15.0,86.0,40.333333333333336,0,0,1
B1xnPsA5KX,3,22.0,63.0,28.666666666666668,1,0,0
B1xq264YvH,4,9.0,55.0,26.5,0,0,1
B1xsqj09Fm,3,29.0,59.0,42.333333333333336,1,1,1
B1xtFpVtvB,4,4.0,20.0,13.5,0,0,0
B1xtd1HtPS,6,6.0,120.0,43.166666666666664,1,1,1
B1xu6yStPH,1,1.0,1.0,1.0,0,0,0
B1xv9pEKDS,7,19.0,76.0,36.285714285714285,0,0,1
B1xwcyHFDr,5,8.0,49.0,22.6,0,0,0
B1xxAJHFwS,2,43.0,52.0,47.5,0,0,1
B1xybgSKwB,4,8.0,38.0,20.75,1,1,1
B1ydPgTpW,1,4.0,4.0,4.0,0,0,0
B1zMDjAqKQ,4,23.0,43.0,23.25,1,1,0
BJ0hF1Z0b,4,36.0,51.0,33.25,0,1,1
BJ4BVhRcYX,5,11.0,19.0,12.2,0,0,1
BJ6anzb0Z,2,,,,0,0,0
BJ78bJZCZ,2,3.0,5.0,4.0,1,0,0
BJ8c3f-0b,5,9.0,32.0,14.0,1,1,0
BJ8vJebC-,2,38.0,38.0,35.0,1,0,1
BJDH5M-AW,4,12.0,25.0,16.5,0,0,0
BJE-4xW0W,4,11.0,53.0,27.5,0,0,1
BJEOOsCqKm,4,19.0,35.0,20.0,0,0,1
BJG0voC9YQ,7,24.0,56.0,25.285714285714285,1,1,0
BJGVX3CqYm,6,31.0,85.0,35.0,0,0,1
BJGWO9k0Z,2,15.0,15.0,11.5,0,0,0
BJGfCjA5FX,4,6.0,26.0,9.5,0,0,0
BJGjOi09t7,3,6.0,35.0,25.0,0,0,0
BJIgi_eCZ,4,31.0,52.0,34.75,0,0,1
BJInEZsTb,4,12.0,120.0,42.0,1,0,1
BJInMmWC-,3,10.0,49.0,27.0,1,1,0
BJJ9bz-0-,6,17.0,139.0,59.166666666666664,1,1,0
BJJLHbb0-,7,20.0,31.0,19.428571428571427,0,0,1
BJLmN8xRW,5,17.0,41.0,19.8,1,0,1
BJMuY-gRW,3,15.0,65.0,38.666666666666664,0,0,0
BJMvBjC5YQ,2,4.0,4.0,2.5,0,0,0
BJNRFNlRW,3,60.0,60.0,32.666666666666664,0,0,0
BJOFETxR-,3,30.0,31.0,24.666666666666668,0,0,1
BJQPG5lR-,3,14.0,14.0,9.0,1,0,0
BJQRKzbA-,5,20.0,93.0,54.0,0,0,0
BJRZzFlRb,2,9.0,26.0,17.5,0,0,1
BJWfW2C9Y7,5,52.0,85.0,44.2,0,0,1
BJ_QxP1AZ,4,12.0,131.0,69.25,0,0,1
BJ_UL-k0b,5,10.0,139.0,85.0,1,0,1
BJ_wN01C-,4,15.0,63.0,31.0,0,0,0
BJaU__eCZ,3,6.0,49.0,29.0,1,0,1
BJe-91BtvH,4,11.0,62.0,27.75,0,0,0
BJe-Sn0ctm,3,7.0,29.0,12.666666666666666,0,0,0
BJe-_CNKPH,4,15.0,29.0,20.5,0,0,0
BJe-unNYPr,2,6.0,22.0,14.0,0,0,0
BJe0Gn0cY7,4,13.0,93.0,45.25,0,0,1
BJe1334YDH,3,2.0,25.0,15.666666666666666,0,0,0
BJe1E2R5KX,6,10.0,139.0,44.833333333333336,1,0,1
BJe1hsCcYQ,3,11.0,66.0,28.333333333333332,1,1,1
BJe4JJBYwS,3,6.0,105.0,60.0,0,0,0
BJe4V1HFPr,2,7.0,70.0,38.5,0,0,1
BJe4oxHYPB,3,9.0,34.0,24.666666666666668,0,0,1
BJe55gBtvH,4,9.0,51.0,20.5,0,0,1
BJe7h34YDS,4,7.0,66.0,31.25,1,0,0
BJe8pkHFwS,5,13.0,62.0,25.8,0,0,1
BJeAHkrYDS,6,9.0,83.0,31.0,1,1,1
BJeB5hVtvB,4,15.0,38.0,31.25,0,0,0
BJeGA6VtPS,3,21.0,76.0,35.0,0,0,1
BJeGZxrFvS,2,12.0,80.0,46.0,1,0,1
BJeGlJStPr,5,10.0,133.0,36.4,1,0,1
BJeKh3VYDH,4,45.0,45.0,38.0,0,0,0
BJeKwTNFvB,3,5.0,67.0,35.666666666666664,0,0,0
BJeOioA9Y7,3,8.0,49.0,34.333333333333336,0,0,1
BJeRg205Fm,2,21.0,21.0,11.0,0,0,1
BJeRykBKDH,5,7.0,72.0,30.4,1,1,1
BJeS62EtwH,5,8.0,16.0,12.333333333333334,0,0,0
BJeTCAEtDB,8,6.0,37.0,14.375,0,0,1
BJeUs3VFPH,2,48.0,48.0,34.5,0,0,0
BJeVklHtPr,2,22.0,32.0,27.0,1,0,1
BJeWOi09FQ,4,9.0,55.0,24.0,0,0,0
BJeWUs05KQ,4,5.0,62.0,24.25,0,0,1
BJeWVpNtwr,4,12.0,47.0,27.5,1,0,1
BJeXaJHKvB,4,6.0,41.0,21.0,0,0,1
BJeY6sR9KX,14,23.0,61.0,21.785714285714285,1,0,1
BJe_z1HFPr,4,12.0,76.0,42.75,0,0,0
BJedHRVtPB,8,13.0,76.0,31.75,1,1,1
BJedt6VKPS,2,17.0,69.0,43.0,0,0,0
BJeem3C9F7,6,9.0,78.0,29.166666666666668,0,0,1
BJeguTEKDB,4,9.0,40.0,22.5,1,0,0
BJej72AqF7,3,9.0,99.0,40.333333333333336,0,0,1
BJena3VtwS,17,35.0,52.0,28.058823529411764,1,1,1
BJepcaEtwB,4,12.0,54.0,27.25,1,0,0
BJepq2VtDB,10,28.0,62.0,24.1,1,1,1
BJesDsA9t7,4,12.0,57.0,28.5,0,0,1
BJes_xStwS,3,25.0,25.0,19.666666666666668,0,0,0
BJevJCVYvB,3,8.0,164.0,68.33333333333333,1,0,0
BJfIVjAcKm,4,8.0,44.0,16.25,1,0,1
BJfOXnActQ,6,13.0,48.0,19.666666666666668,0,0,0
BJfYvo09Y7,8,28.0,56.0,22.875,1,1,1
BJf_YjCqYX,3,50.0,50.0,42.0,1,1,1
BJfguoAcFm,4,9.0,44.0,31.0,0,0,0
BJg15lrKvS,5,29.0,52.0,29.6,0,0,1
BJg1f6EFDB,6,20.0,107.0,40.5,1,0,0
BJg1fgBYwH,5,8.0,46.0,18.4,0,0,1
BJg4NgBKvH,4,28.0,44.0,30.5,0,0,0
BJg4Z3RqF7,3,5.0,11.0,8.0,0,0,0
BJg641BKPH,3,10.0,34.0,16.666666666666668,1,0,0
BJg73xHtvr,3,18.0,19.0,16.0,0,0,0
BJg7x1HFvB,4,9.0,59.0,37.75,0,0,1
BJg866NFvB,4,16.0,69.0,31.25,1,0,0
BJg9DoR9t7,4,28.0,51.0,24.75,0,0,1
BJg9hTNKPH,3,19.0,35.0,28.0,1,1,1
BJgAf6Etwr,5,10.0,78.0,40.2,0,0,1
BJgEd6NYPH,3,9.0,28.0,18.333333333333332,1,0,1
BJgEjiRqYX,3,15.0,41.0,23.666666666666668,1,1,1
BJgGhiR5KX,7,5.0,32.0,19.428571428571427,1,1,1
BJgLg3R9KQ,4,14.0,97.0,30.75,1,1,1
BJgLpaEtDS,1,2.0,2.0,2.0,1,0,0
BJgMFxrYPB,4,4.0,79.0,32.0,1,0,1
BJgPCveAW,4,,,,0,0,0
BJgQ4lSFPH,8,21.0,59.0,20.625,0,0,0
BJgQfkSYDS,4,11.0,29.0,21.666666666666668,0,0,1
BJgRsyBtPB,1,25.0,25.0,25.0,0,0,0
BJgTZ3C5FX,3,3.0,23.0,9.666666666666666,0,0,0
BJgVaG-Ab,3,20.0,56.0,35.666666666666664,0,0,1
BJgWE1SFwS,1,7.0,7.0,7.0,0,0,0
BJgWbpEtPr,1,13.0,13.0,13.0,0,0,0
BJgYl205tQ,5,8.0,53.0,30.0,0,0,1
BJgZGeHFPH,4,8.0,72.0,38.5,1,1,1
BJg_2JHKvH,4,23.0,41.0,21.5,1,0,1
BJg_roAcK7,3,32.0,69.0,37.333333333333336,1,1,1
BJgctpEKwr,2,7.0,15.0,11.0,0,0,0
BJgcwh4FwS,8,13.0,58.0,14.25,1,1,1
BJgd7m0xRZ,5,51.0,52.0,29.4,0,0,0
BJgd81SYwr,4,19.0,34.0,20.25,0,0,0
BJge3TNKwH,4,23.0,23.0,17.5,0,0,1
BJgkbyHKDS,5,26.0,26.0,12.0,0,0,1
BJgklhAcK7,7,18.0,93.0,37.285714285714285,1,1,1
BJgnXpVYwS,4,19.0,60.0,35.25,1,0,1
BJgolhR9Km,1,47.0,47.0,47.0,0,0,1
BJgqQ6NYvB,6,26.0,62.0,24.166666666666668,0,0,0
BJgqqsAct7,5,8.0,55.0,19.4,1,0,1
BJgr4kSFDS,3,21.0,21.0,21.0,0,0,0
BJgsN3R9Km,3,20.0,36.0,21.333333333333332,0,0,1
BJgy-n0cK7,2,5.0,60.0,32.5,0,0,0
BJgy96EYvr,4,9.0,39.0,23.75,0,0,1
BJgza6VtPB,6,55.0,67.0,38.5,1,1,0
BJij4yg0Z,2,32.0,121.0,76.5,0,0,0
BJj6qGbRW,2,2.0,36.0,19.0,0,0,1
BJjquybCW,2,9.0,56.0,32.5,0,0,0
BJk59JZ0b,3,12.0,70.0,33.666666666666664,1,1,0
BJk7Gf-CZ,3,14.0,60.0,39.333333333333336,1,0,1
BJl-5pNKDB,7,12.0,51.0,23.285714285714285,0,0,0
BJl07ySKvS,3,4.0,54.0,24.333333333333332,0,0,0
BJl2_nVFPB,5,28.0,164.0,61.4,1,0,1
BJl4f2A5tQ,5,30.0,45.0,30.4,1,1,1
BJl4g0NYvB,4,16.0,137.0,73.25,0,0,1
BJl6AjC5F7,5,25.0,65.0,34.6,1,1,1
BJl6TjRcY7,8,28.0,57.0,28.375,1,1,1
BJl6bANtwH,3,12.0,12.0,7.0,0,0,0
BJl6t64tvr,5,15.0,47.0,22.2,0,0,1
BJl7mxBYvB,6,8.0,43.0,18.666666666666668,0,0,1
BJl9PRVKDS,7,4.0,16.0,6.142857142857143,1,1,1
BJl9ZTVKwB,3,9.0,73.0,38.666666666666664,1,1,1
BJlAzTEKwS,6,12.0,67.0,25.0,0,0,1
BJlBSkHtDS,3,16.0,54.0,28.666666666666668,0,0,0
BJlEEaEFDS,3,26.0,29.0,23.0,0,0,0
BJlITC4KDB,1,22.0,22.0,22.0,0,0,0
BJlLdhNFPr,5,9.0,97.0,34.2,0,0,1
BJlNs0VYPB,7,23.0,29.0,13.285714285714286,0,0,1
BJlPOlBKDB,4,6.0,43.0,16.5,0,0,1
BJlRs34Fvr,5,10.0,53.0,34.6,1,0,1
BJlS634tPr,7,17.0,89.0,46.714285714285715,1,1,1
BJlSPRVFwS,4,17.0,30.0,16.75,0,0,1
BJlXgkHYvS,2,6.0,28.0,17.0,0,0,0
BJlZ5ySKPH,4,18.0,18.0,9.5,0,0,0
BJlaG0VFDH,7,26.0,58.0,15.285714285714286,0,0,1
BJlahxHYDS,5,13.0,43.0,28.2,1,1,0
BJlbo6VtDH,4,12.0,13.0,12.5,0,0,1
BJlc6iA5YX,7,6.0,32.0,21.714285714285715,0,0,1
BJleph4KvS,6,20.0,44.0,23.666666666666668,0,0,0
BJlgNh0qKQ,2,6.0,44.0,25.0,0,0,0
BJlgt2EYwr,6,7.0,89.0,34.5,1,1,0
BJlguT4YPr,4,78.0,78.0,33.75,1,0,1
BJliakStvH,2,6.0,87.0,46.5,1,0,1
BJlisySYPS,4,13.0,71.0,42.75,0,0,0
BJlkgaNKvr,3,17.0,53.0,26.0,0,0,1
BJlnmgrFvS,6,22.0,64.0,29.833333333333332,0,0,1
BJlowyHYPr,4,21.0,44.0,33.0,1,1,0
BJlpCsC5Km,4,17.0,41.0,23.0,0,0,0
BJlrF24twB,3,3.0,30.0,13.0,0,0,0
BJlrSmbAZ,3,2.0,43.0,22.666666666666668,0,0,0
BJluxREKDB,4,5.0,79.0,41.25,1,1,1
BJluxbWC-,3,82.0,82.0,59.0,0,0,0
BJluy2RcFm,4,5.0,26.0,14.25,0,0,1
BJlxdCVKDB,6,8.0,50.0,18.666666666666668,0,0,1
BJlxm30cKm,6,14.0,185.0,55.5,1,1,1
BJlzm64tDH,4,22.0,38.0,26.75,1,0,1
BJuWrGW0Z,3,14.0,67.0,39.0,1,0,0
BJubPWZRW,3,26.0,121.0,53.333333333333336,0,0,1
BJvWjcgAZ,3,5.0,25.0,11.666666666666666,0,0,0
BJx040EFvH,3,18.0,53.0,25.333333333333332,1,0,1
BJx1SsAcYQ,7,15.0,47.0,20.285714285714285,0,0,0
BJx7N1SKvB,3,17.0,31.0,17.666666666666668,1,1,1
BJx8Fh4KPB,3,32.0,38.0,35.333333333333336,1,1,1
BJx8YnEFPH,3,32.0,38.0,35.333333333333336,1,1,1
BJx9f305t7,5,1.0,78.0,21.2,0,0,0
BJxDNxSFDH,3,5.0,40.0,18.0,0,0,0
BJxG_0EtDS,6,14.0,41.0,24.5,1,1,1
BJxH22EKPS,3,6.0,66.0,28.666666666666668,0,0,0
BJxI5gHKDr,4,11.0,26.0,13.0,0,0,0
BJxLH2AcYX,5,6.0,41.0,20.0,1,1,1
BJxOHs0cKm,4,40.0,78.0,52.75,0,0,1
BJxPk2A9Km,4,13.0,34.0,14.0,0,0,1
BJxRVnC5Fm,4,11.0,69.0,28.25,0,0,0
BJxSI1SKDH,3,10.0,34.0,20.666666666666668,1,0,1
BJxSWeSYPB,6,8.0,98.0,38.333333333333336,0,0,0
BJxVI04YvB,4,18.0,61.0,32.5,0,0,1
BJxVT3EKDH,3,3.0,41.0,18.666666666666668,0,0,0
BJxWx0NYPr,4,24.0,37.0,18.75,0,0,1
BJx_JAVKDB,4,25.0,38.0,27.25,1,1,1
BJxbYoC9FQ,3,14.0,64.0,34.0,0,0,1
BJxg_hVtwH,2,13.0,57.0,35.0,1,0,1
BJxh2j0qYm,5,13.0,71.0,27.2,1,0,0
BJxhijAcY7,4,6.0,57.0,24.75,1,1,1
BJxiqxSYPB,2,18.0,54.0,36.0,1,0,1
BJxkOlSYDH,5,10.0,122.0,37.4,0,0,0
BJxnIxSKDr,7,25.0,112.0,41.142857142857146,1,0,1
BJxqohNFPB,2,4.0,4.0,2.5,0,0,0
BJxsrgStvr,9,16.0,99.0,32.55555555555556,0,0,1
BJxssoA5KX,4,11.0,72.0,37.25,0,0,1
BJxt2aVFPr,6,7.0,65.0,34.333333333333336,1,0,1
BJxt60VtPr,6,15.0,49.0,22.5,1,0,1
BJxvEh0cFQ,4,7.0,73.0,30.0,0,0,1
BJxwPJHFwS,5,12.0,68.0,46.0,0,0,1
BJy0fcgRZ,5,18.0,100.0,32.0,1,0,1
BJypUGZ0Z,4,13.0,82.0,34.75,1,0,1
BJzmzn0ctX,5,20.0,59.0,32.4,0,0,0
BJzuKiC9KX,5,9.0,57.0,24.8,1,1,0
Bk-ofQZRb,1,1.0,1.0,1.0,0,0,0
Bk6qQGWRb,3,30.0,30.0,30.0,1,1,1
Bk7wvW-C-,5,11.0,70.0,42.4,0,0,1
Bk8ZcAxR-,6,17.0,46.0,25.666666666666668,0,0,1
Bk9zbyZCZ,2,16.0,90.0,53.0,0,0,0
