paper_id,year,lap,openalex_citations,score_original,score_masked,masked_abstract_chars
rJgffkSFPS,2020,0.000000,33.0,6.0,7.0,1560
BJgTZ3C5FX,2019,0.000000,5.0,3.0,6.0,1105
rkg-mA4FDr,2020,0.000000,101.0,7.0,7.0,1753
Hyed4i05KX,2019,0.000000,8.0,4.0,5.0,1167
Syx6bz-Ab,2018,0.000000,788.0,8.0,8.0,1264
H1zeHnA9KX,2019,0.000000,10.0,6.0,3.0,1113
rJgQkT4twH,2020,0.000000,0.0,4.0,3.0,1298
S1MAriC5F7,2019,0.000000,100.0,8.0,5.0,1221
Sy0GnUxCb,2018,0.000000,147.0,8.0,6.0,1242
Skj8Kag0Z,2018,0.000000,10.0,6.0,5.0,1015
H1g0piA9tQ,2019,0.000000,8.0,6.0,6.0,1489
ryl0cAVtPH,2020,0.000000,13.0,3.0,3.0,1506
rJlf_RVKwr,2020,0.000000,10.0,8.0,7.0,1447
rke-f6NKvS,2020,0.000000,4.0,7.0,6.0,1171
H1lS8oA5YQ,2019,0.000000,2.0,6.0,6.0,864
r1nmx5l0W,2018,0.000000,0.0,5.0,5.0,1016
H1rRWl-Cb,2018,0.000000,35.0,8.0,5.0,1266
SJgiNo0cKX,2019,0.000000,4.0,3.0,4.0,1183
rke2HRVYvH,2020,0.000000,10.0,7.0,6.0,1409
SkeUG30cFQ,2019,0.000000,0.0,6.0,6.0,930
rkxQ-nA9FX,2019,0.000000,42.0,8.0,6.0,1062
rkxVz1HKwB,2020,0.000000,19.0,7.0,7.0,1070
rkxoh24FPH,2020,0.000000,220.0,7.0,7.0,1148
HyfHgI6aW,2018,0.000000,38.0,5.0,6.0,994
SJiHOSeR-,2018,0.000000,2.0,5.0,4.0,1262
SygQvs0cFQ,2019,0.000000,3.0,6.0,5.0,1079
rJYFzMZC-,2018,0.000000,27.0,6.0,6.0,893
By-7dz-AZ,2018,0.000000,229.0,8.0,5.0,1037
HJCXZQbAZ,2018,0.000000,4.0,8.0,6.0,951
rJMcdsA5FX,2019,0.000000,77.0,6.0,4.0,1025
rylSzl-R-,2018,0.000000,75.0,7.0,6.0,1335
ry1arUgCW,2018,0.000000,37.0,5.0,3.0,1352
rkgfdeBYvH,2020,0.000000,12.0,7.0,7.0,2031
rygrBhC5tQ,2019,0.000000,25.0,7.0,6.0,1375
rJgqMRVYvr,2020,0.000000,21.0,8.0,6.0,1182
rkx-wA4YPS,2020,0.000000,4.0,5.0,5.0,1470
B1fpDsAqt7,2019,0.000000,4.0,8.0,6.0,1242
rygkk305YQ,2019,0.000000,45.0,7.0,5.0,1124
ryzm6BATZ,2018,0.000000,nan,4.0,3.0,1054
ryl5CJSFPS,2020,0.000000,0.0,8.0,7.0,2140
rkN2Il-RZ,2018,0.000000,58.0,7.0,6.0,1285
Syl7OsRqY7,2019,0.000000,48.0,7.0,7.0,1178
rygfnn4twS,2020,0.000000,22.0,7.0,6.0,1317
rk3mjYRp-,2018,0.000000,0.0,6.0,7.0,969
SksY3deAW,2018,0.000000,31.0,7.0,6.0,942
rJg4YGWRb,2018,0.000000,252.0,10.0,8.0,1452
ByzcS3AcYX,2019,0.000000,20.0,7.0,5.0,1543
